# File: A00.india_state_laborforce.csv
# Title: Estimated labour force projections
# Units: NA
# Description: Estimated to correct the trajectory of GDP growth rates
# Column types: cin
# ----------
region,year,laborforce
MH,2035,0.380884734
MH,2040,0.380884734
MH,2045,0.380884734
MH,2050,0.380884734
MH,2055,0.380884734
MH,2060,0.380884734
MH,2065,0.380884734
MH,2070,0.380884734
MH,2075,0.380884734
MH,2080,0.380884734
MH,2085,0.380884734
MH,2090,0.380884734
MH,2095,0.380884734
MH,2100,0.380884734
ML,1975,0.5
ML,1990,0.5
ML,2005,0.5
ML,2010,0.359219888
ML,2015,0.311379954
ML,2020,0.311379954
ML,2025,0.311379954
ML,2030,0.311379954
ML,2035,0.311379954
ML,2040,0.311379954
ML,2045,0.311379954
ML,2050,0.311379954
ML,2055,0.311379954
ML,2060,0.311379954
ML,2065,0.311379954
ML,2070,0.311379954
ML,2075,0.311379954
ML,2080,0.311379954
ML,2085,0.311379954
ML,2090,0.311379954
ML,2095,0.311379954
ML,2100,0.311379954
MN,1975,0.5
MN,1990,0.5
MN,2005,0.5
MN,2010,0.376782408
MN,2015,0.366379956
MN,2020,0.366379956
MN,2025,0.366379956
MN,2030,0.366379956
MN,2035,0.366379956
MN,2040,0.366379956
MN,2045,0.366379956
MN,2050,0.366379956
MN,2055,0.366379956
MN,2060,0.366379956
MN,2065,0.366379956
MN,2070,0.366379956
MN,2075,0.366379956
MN,2080,0.366379956
MN,2085,0.366379956
MN,2090,0.366379956
MN,2095,0.366379956
MN,2100,0.366379956
MP,1975,0.5
MP,1990,0.5
MP,2005,0.5
MP,2010,0.341827379
MP,2015,0.345381906
MP,2020,0.345381906
MP,2025,0.345381906
MP,2030,0.345381906
MP,2035,0.345381906
MP,2040,0.345381906
MP,2045,0.345381906
MP,2050,0.345381906
MP,2055,0.345381906
MP,2060,0.345381906
MP,2065,0.345381906
MP,2070,0.345381906
MP,2075,0.345381906
MP,2080,0.345381906
MP,2085,0.345381906
MP,2090,0.345381906
MP,2095,0.345381906
MP,2100,0.345381906
MZ,1975,0.5
MZ,1990,0.5
MZ,2005,0.5
MZ,2010,0.223692662
MZ,2015,0.287305772
MZ,2020,0.287305772
MZ,2025,0.287305772
MZ,2030,0.287305772
MZ,2035,0.287305772
MZ,2040,0.287305772
MZ,2045,0.287305772
MZ,2050,0.287305772
MZ,2055,0.287305772
MZ,2060,0.287305772
MZ,2065,0.287305772
MZ,2070,0.287305772
MZ,2075,0.287305772
MZ,2080,0.287305772
MZ,2085,0.287305772
MZ,2090,0.287305772
MZ,2095,0.287305772
MZ,2100,0.287305772
NL,1975,0.5
NL,1990,0.5
NL,2005,0.5
NL,2010,0.259769386
NL,2015,0.26615924
NL,2020,0.26615924
NL,2025,0.26615924
NL,2030,0.26615924
NL,2035,0.26615924
NL,2040,0.26615924
NL,2045,0.26615924
NL,2050,0.26615924
NL,2055,0.26615924
NL,2060,0.26615924
NL,2065,0.26615924
NL,2070,0.26615924
NL,2075,0.26615924
NL,2080,0.26615924
NL,2085,0.26615924
NL,2090,0.26615924
NL,2095,0.26615924
NL,2100,0.26615924
OD,1975,0.5
OD,1990,0.5
OD,2005,0.5
OD,2010,0.435479297
OD,2015,0.422029085
OD,2020,0.422029085
OD,2025,0.422029085
OD,2030,0.422029085
OD,2035,0.422029085
OD,2040,0.422029085
OD,2045,0.422029085
OD,2050,0.422029085
OD,2055,0.422029085
OD,2060,0.422029085
OD,2065,0.422029085
OD,2070,0.422029085
OD,2075,0.422029085
OD,2080,0.422029085
OD,2085,0.422029085
OD,2090,0.422029085
OD,2095,0.422029085
OD,2100,0.422029085
PB,1975,0.5
PB,1990,0.5
PB,2005,0.5
PB,2010,0.44921814
PB,2015,0.435680155
PB,2020,0.435680155
PB,2025,0.435680155
PB,2030,0.435680155
PB,2035,0.435680155
PB,2040,0.435680155
PB,2045,0.435680155
PB,2050,0.435680155
PB,2055,0.435680155
PB,2060,0.435680155
PB,2065,0.435680155
PB,2070,0.435680155
PB,2075,0.435680155
PB,2080,0.435680155
PB,2085,0.435680155
PB,2090,0.435680155
PB,2095,0.435680155
PB,2100,0.435680155
PC,1975,0.5
PC,1990,0.5
PC,2005,0.5
PC,2010,0.380857751
PC,2015,0.324337803
PC,2020,0.324337803
PC,2025,0.324337803
PC,2030,0.324337803
PC,2035,0.324337803
PC,2040,0.324337803
PC,2045,0.324337803
PC,2050,0.324337803
PC,2055,0.324337803
PC,2060,0.324337803
PC,2065,0.324337803
PC,2070,0.324337803
PC,2075,0.324337803
PC,2080,0.324337803
PC,2085,0.324337803
PC,2090,0.324337803
PC,2095,0.324337803
PC,2100,0.324337803
RJ,1975,0.5
RJ,1990,0.5
RJ,2005,0.5
RJ,2010,0.323814712
RJ,2015,0.337227992
RJ,2020,0.337227992
RJ,2025,0.337227992
RJ,2030,0.337227992
RJ,2035,0.337227992
RJ,2040,0.337227992
RJ,2045,0.337227992
RJ,2050,0.337227992
RJ,2055,0.337227992
RJ,2060,0.337227992
RJ,2065,0.337227992
RJ,2070,0.337227992
RJ,2075,0.337227992
RJ,2080,0.337227992
RJ,2085,0.337227992
RJ,2090,0.337227992
RJ,2095,0.337227992
RJ,2100,0.337227992
SK,1975,0.5
SK,1990,0.5
SK,2005,0.5
SK,2010,0.313305706
SK,2015,0.319878161
SK,2020,0.319878161
SK,2025,0.319878161
SK,2030,0.319878161
SK,2035,0.319878161
SK,2040,0.319878161
SK,2045,0.319878161
SK,2050,0.319878161
SK,2055,0.319878161
SK,2060,0.319878161
SK,2065,0.319878161
SK,2070,0.319878161
SK,2075,0.319878161
SK,2080,0.319878161
SK,2085,0.319878161
SK,2090,0.319878161
SK,2095,0.319878161
SK,2100,0.319878161
TN,1975,0.5
TN,1990,0.5
TN,2005,0.5
TN,2010,0.461887308
TN,2015,0.490301598
TN,2020,0.490301598
TN,2025,0.490301598
TN,2030,0.490301598
TN,2035,0.490301598
TN,2040,0.490301598
TN,2045,0.490301598
TN,2050,0.490301598
TN,2055,0.490301598
TN,2060,0.490301598
TN,2065,0.490301598
TN,2070,0.490301598
TN,2075,0.490301598
TN,2080,0.490301598
