# File: A44.india_state_subregional_pop_share.csv
# Title: Subregional pop share
# Units: Share
# Source: Census of India
# Column types: ccnnnnnnnnnnnnnnnnnnnnnn
# ----------
TS,resid urban,0.388780257,0.388780257,0.388780257,0.388780257,0.428171795,0.464254473,0.50080236,0.537914148,0.576000203,0.613700565,0.671247635,0.731361407,0.757568511,0.784827394,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
TR,resid urban,0.261769994,0.261769994,0.261769994,0.261769994,0.314919979,0.369688037,0.425586854,0.482167043,0.538882804,0.599970234,0.6634,0.7,0.73,0.74,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
UP,resid urban,0.22281994,0.22281994,0.22281994,0.22281994,0.230134159,0.237389945,0.244561659,0.251743312,0.25901,0.281791741,0.314069422,0.348072745,0.366694216,0.386431459,0.407351332,0.429524695,0.453026656,0.477936823,0.504339573,0.532324341,0.561985917,0.593424774
UK,resid urban,0.305550071,0.305550071,0.305550071,0.305550071,0.325987913,0.349592069,0.372967564,0.396438837,0.411397889,0.439186306,0.481234353,0.525200091,0.544377012,0.563553934,0.582730855,0.601907776,0.621084697,0.640261619,0.65943854,0.678615461,0.697792382,0.716969304
WB,resid urban,0.318939512,0.318939512,0.318939512,0.318939512,0.339002303,0.359541401,0.380483874,0.401969325,0.424148216,0.461639039,0.514698215,0.5706013,0.590791882,0.611782635,0.633605271,0.656292758,0.67987937,0.704400742,0.729893918,0.756397411,0.783951263,0.8
AN,resid rural,0.643280423,0.643280423,0.643280423,0.643280423,0.596938776,0.57,0.541871921,0.512195122,0.484261501,0.464702924,0.406304451,0.356656063,0.337097486,0.317538909,0.297980332,0.278421755,0.258863178,0.2393046,0.219746023,0.200187446,0.2,0.2
AP,resid rural,0.703100099,0.703100099,0.703100099,0.703100099,0.676685289,0.647299525,0.616954328,0.585436087,0.552606356,0.515992446,0.46324437,0.407783937,0.380660371,0.353536805,0.32641324,0.299289674,0.272166108,0.245042542,0.217918976,0.2,0.2,0.2
AR,resid rural,0.773290037,0.773290037,0.773290037,0.773290037,0.759424263,0.748206132,0.736907731,0.725584182,0.714368819,0.699682642,0.675547769,0.650533136,0.641735535,0.632937934,0.624140332,0.615342731,0.606545129,0.597747528,0.588949926,0.580152325,0.571354723,0.562557122
AS,resid rural,0.859200026,0.859200026,0.859200026,0.859200026,0.852900386,0.846816768,0.840727728,0.834590009,0.828371278,0.813165504,0.790826051,0.766326876,0.752295666,0.737320831,0.721338911,0.704282177,0.686078345,0.666650271,0.645915623,0.623786532,0.600169217,0.574963594
BR,resid rural,0.886999578,0.886999578,0.886999578,0.886999578,0.887827182,0.880319557,0.872309452,0.863763239,0.854645035,0.841814889,0.82295455,0.802278191,0.790462707,0.777856423,0.764406411,0.750056202,0.734745547,0.718410163,0.700981467,0.682386284,0.662546542,0.641378944
CH,resid rural,0.0275,0.0275,0.0275,0.0275,0.011443662,0.003311258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CG,resid rural,0.767560022,0.767560022,0.767560022,0.767560022,0.751260382,0.735191401,0.719233604,0.703291665,0.693679752,0.672905968,0.641506559,0.608671132,0.594310957,0.579950781,0.565590606,0.55123043,0.536870255,0.52251008,0.508149904,0.493789729,0.479429553,0.465069378
