# File: A44.india_state_in_EJ_comm_F_Uoth_Y.csv
# Title: State-wise apploth energy demand in India
# Units: EJ/yr
# Comments: commential apploth energy demand
# Source: Refer to India_bld disaggg
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
state,sector,fuel,service,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
MZ,comm,electricity,comm lighting,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005
NL,comm,electricity,comm lighting,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
OD,comm,electricity,comm lighting,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127
PB,comm,electricity,comm lighting,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264,0.00264
PC,comm,electricity,comm lighting,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007
RJ,comm,electricity,comm lighting,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357,0.00357
SK,comm,electricity,comm lighting,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012
TN,comm,electricity,comm lighting,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715,0.00715
TR,comm,electricity,comm lighting,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009,0.00009
TS,comm,electricity,comm lighting,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104,0.00104
UK,comm,electricity,comm lighting,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101
UP,comm,electricity,comm lighting,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537,0.00537
WB,comm,electricity,comm lighting,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407
AN,comm,electricity,comm ref,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014
AP,comm,electricity,comm ref,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224
AR,comm,electricity,comm ref,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003
AS,comm,electricity,comm ref,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026
BR,comm,electricity,comm ref,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034,0.00034
CG,comm,electricity,comm ref,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033
CH,comm,electricity,comm ref,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
DD,comm,electricity,comm ref,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006
DL,comm,electricity,comm ref,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202
