# File: A44.india_state_in_EJ_comm_F_hvac_Y.csv
# Title: State-wise hvac energy demand in India
# Units: EJ/yr
# Comments: commential hvac energy demand
# Source: Refer to India_bld disaggg
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
state,sector,fuel,service,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
MP,comm,electricity,comm hvac,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016
MZ,comm,electricity,comm hvac,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012
NL,comm,electricity,comm hvac,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003
OD,comm,electricity,comm hvac,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280,0.00280
PB,comm,electricity,comm hvac,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580,0.00580
PC,comm,electricity,comm hvac,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016
RJ,comm,electricity,comm hvac,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785,0.00785
SK,comm,electricity,comm hvac,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027
TN,comm,electricity,comm hvac,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572,0.01572
TR,comm,electricity,comm hvac,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021
TS,comm,electricity,comm hvac,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228
UK,comm,electricity,comm hvac,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223
UP,comm,electricity,comm hvac,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180,0.01180
WB,comm,electricity,comm hvac,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896,0.00896
