# File: A23.india_state_stubtech_LT.csv
# Title: Lifetime of all techs
# Units: years
# Column types: ccccnn
# ----------
region,supplysector,subsector,stub.technology,year,lifetime
India,electricity,coal,coal (IGCC CCS),2065,50
India,electricity,coal,coal (IGCC),2065,50
India,electricity,solar,CSP_storage,2065,25
India,electricity,gas,gas (CC CCS),2065,50
India,electricity,gas,gas (CC),2065,50
India,electricity,gas,gas (steam/CT),2065,50
India,electricity,geothermal,geothermal,2065,50
India,electricity,solar,PV_storage,2065,25
India,electricity,refined liquids,refined liquids (CC CCS),2065,50
India,electricity,refined liquids,refined liquids (CC),2065,50
India,electricity,refined liquids,refined liquids (steam/CT),2065,50
India,electricity,wind,wind_storage,2065,25
India,electricity,biomass,biomass (conv CCS),2070,50
India,electricity,biomass,biomass (conv),2070,50
India,electricity,biomass,biomass (IGCC CCS),2070,50
India,electricity,biomass,biomass (IGCC),2070,50
India,electricity,coal,coal (conv pul CCS),2070,50
India,electricity,coal,coal (conv pul),2070,50
India,electricity,coal,coal (IGCC CCS),2070,50
India,electricity,coal,coal (IGCC),2070,50
India,electricity,solar,CSP_storage,2070,25
India,electricity,gas,gas (CC CCS),2070,50
India,electricity,gas,gas (CC),2070,50
India,electricity,gas,gas (steam/CT),2070,50
India,electricity,geothermal,geothermal,2070,50
India,electricity,solar,PV_storage,2070,25
India,electricity,refined liquids,refined liquids (CC CCS),2070,50
India,electricity,refined liquids,refined liquids (CC),2070,50
India,electricity,refined liquids,refined liquids (steam/CT),2070,50
India,electricity,wind,wind_storage,2070,25
India,electricity,biomass,biomass (conv CCS),2075,50
India,electricity,biomass,biomass (conv),2075,50
India,electricity,biomass,biomass (IGCC CCS),2075,50
India,electricity,biomass,biomass (IGCC),2075,50
India,electricity,coal,coal (conv pul CCS),2075,50
India,electricity,coal,coal (conv pul),2075,50
India,electricity,coal,coal (IGCC CCS),2075,50
India,electricity,coal,coal (IGCC),2075,50
India,electricity,solar,CSP_storage,2075,25
India,electricity,gas,gas (CC CCS),2075,50
India,electricity,gas,gas (CC),2075,50
India,electricity,gas,gas (steam/CT),2075,50
India,electricity,geothermal,geothermal,2075,50
India,electricity,solar,PV_storage,2075,25
India,electricity,refined liquids,refined liquids (CC CCS),2075,50
India,electricity,refined liquids,refined liquids (CC),2075,50
India,electricity,refined liquids,refined liquids (steam/CT),2075,50
India,electricity,wind,wind_storage,2075,25
India,electricity,biomass,biomass (conv CCS),2080,50
India,electricity,biomass,biomass (conv),2080,50
India,electricity,biomass,biomass (IGCC CCS),2080,50
India,electricity,biomass,biomass (IGCC),2080,50
India,electricity,coal,coal (conv pul CCS),2080,50
India,electricity,coal,coal (conv pul),2080,50
India,electricity,coal,coal (IGCC CCS),2080,50
India,electricity,coal,coal (IGCC),2080,50
India,electricity,solar,CSP_storage,2080,25
India,electricity,gas,gas (CC CCS),2080,50
India,electricity,gas,gas (CC),2080,50
India,electricity,gas,gas (steam/CT),2080,50
India,electricity,geothermal,geothermal,2080,50
India,electricity,solar,PV_storage,2080,25
India,electricity,refined liquids,refined liquids (CC CCS),2080,50
India,electricity,refined liquids,refined liquids (CC),2080,50
India,electricity,refined liquids,refined liquids (steam/CT),2080,50
India,electricity,wind,wind_storage,2080,25
India,electricity,biomass,biomass (conv CCS),2085,50
India,electricity,biomass,biomass (conv),2085,50
India,electricity,biomass,biomass (IGCC CCS),2085,50
India,electricity,biomass,biomass (IGCC),2085,50
India,electricity,coal,coal (conv pul CCS),2085,50
India,electricity,coal,coal (conv pul),2085,50
India,electricity,coal,coal (IGCC CCS),2085,50
India,electricity,coal,coal (IGCC),2085,50
India,electricity,solar,CSP_storage,2085,25
India,electricity,gas,gas (CC CCS),2085,50
India,electricity,gas,gas (CC),2085,50
India,electricity,gas,gas (steam/CT),2085,50
India,electricity,geothermal,geothermal,2085,50
India,electricity,solar,PV_storage,2085,25
India,electricity,refined liquids,refined liquids (CC CCS),2085,50
India,electricity,refined liquids,refined liquids (CC),2085,50
India,electricity,refined liquids,refined liquids (steam/CT),2085,50
India,electricity,wind,wind_storage,2085,25
India,electricity,biomass,biomass (conv CCS),2090,50
India,electricity,biomass,biomass (conv),2090,50
India,electricity,biomass,biomass (IGCC CCS),2090,50
India,electricity,biomass,biomass (IGCC),2090,50
India,electricity,coal,coal (conv pul CCS),2090,50
India,electricity,coal,coal (conv pul),2090,50
India,electricity,coal,coal (IGCC CCS),2090,50
India,electricity,coal,coal (IGCC),2090,50
India,electricity,solar,CSP_storage,2090,25
India,electricity,gas,gas (CC CCS),2090,50
India,electricity,gas,gas (CC),2090,50
India,electricity,gas,gas (steam/CT),2090,50
India,electricity,geothermal,geothermal,2090,50
India,electricity,solar,PV_storage,2090,25
India,electricity,refined liquids,refined liquids (CC CCS),2090,50
India,electricity,refined liquids,refined liquids (CC),2090,50
India,electricity,refined liquids,refined liquids (steam/CT),2090,50
India,electricity,wind,wind_storage,2090,25
India,electricity,biomass,biomass (conv CCS),2095,50
India,electricity,biomass,biomass (conv),2095,50
India,electricity,biomass,biomass (IGCC CCS),2095,50
India,electricity,biomass,biomass (IGCC),2095,50
India,electricity,coal,coal (conv pul CCS),2095,50
India,electricity,coal,coal (conv pul),2095,50
India,electricity,coal,coal (IGCC CCS),2095,50
India,electricity,coal,coal (IGCC),2095,50
India,electricity,solar,CSP_storage,2095,25
India,electricity,gas,gas (CC CCS),2095,50
India,electricity,gas,gas (CC),2095,50
India,electricity,gas,gas (steam/CT),2095,50
India,electricity,geothermal,geothermal,2095,50
India,electricity,solar,PV_storage,2095,25
India,electricity,refined liquids,refined liquids (CC CCS),2095,50
India,electricity,refined liquids,refined liquids (CC),2095,50
India,electricity,refined liquids,refined liquids (steam/CT),2095,50
India,electricity,wind,wind_storage,2095,25
India,electricity,biomass,biomass (conv CCS),2100,50
India,electricity,biomass,biomass (conv),2100,50
India,electricity,biomass,biomass (IGCC CCS),2100,50
India,electricity,biomass,biomass (IGCC),2100,50
India,electricity,coal,coal (conv pul CCS),2100,50
India,electricity,coal,coal (conv pul),2100,50
India,electricity,coal,coal (IGCC CCS),2100,50
India,electricity,coal,coal (IGCC),2100,50
India,electricity,solar,CSP_storage,2100,25
India,electricity,gas,gas (CC CCS),2100,50
India,electricity,gas,gas (CC),2100,50
India,electricity,gas,gas (steam/CT),2100,50
India,electricity,geothermal,geothermal,2100,50
India,electricity,solar,PV_storage,2100,25
India,electricity,refined liquids,refined liquids (CC CCS),2100,50
India,electricity,refined liquids,refined liquids (CC),2100,50
India,electricity,refined liquids,refined liquids (steam/CT),2100,50
India,electricity,wind,wind_storage,2100,25
