# File: A10.EB_trn_SecFuel_mtoe.csv
# Title: Database of fuel consumption across transport sector
# Units: Energy units in mtoe
# Source:  GHG platform
# Column types: cccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
State,GHG_Platform_sectors,GHG_Platform_fuels,sector,fuel,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ML,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MP,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004100311,0.004557915,0.00463973,0.005105166,0.006517714,0.00740227
MZ,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OD,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.002687385,0.003162223,0.003621643,0.003695394,0.004567131,0.004744408
PB,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.005190741,0.004322778,0.004592554,0.004792916,0.004693292,0.006259638
PC,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RJ,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010144,0.010199046,0.010438315,0.011008507,0.012112488,0.012966393
SK,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
