# File: A44.india_state_globaltech_eff.csv
# Title: Building default technology efficiency
# Units: Unitless
# Source: ASSUMED
# Column types: ccccnnnnnnnnnnnnnnnnnnnn
# ----------
resid rural cooking,traditional biomass,traditional biomass,traditional biomass,0.195,0.195,0.195,0.195,0.203633388,0.212649008,0.222063784,0.231895387,0.242162273,0.252883713,0.264079832,0.275771645,0.287981098,0.300731111,0.314045615,0.327949602,0.342469171,0.357631577,0.373465279,0.39
resid urban cooking,traditional biomass,traditional biomass,traditional biomass,0.195,0.195,0.195,0.195,0.203633388,0.212649008,0.222063784,0.231895387,0.242162273,0.252883713,0.264079832,0.275771645,0.287981098,0.300731111,0.314045615,0.327949602,0.342469171,0.357631577,0.373465279,0.39
resid rural apploth,biomass,biomass-based app,delivered biomass,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482
resid urban apploth,biomass,biomass-based app,delivered biomass,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482
resid rural apploth,refined liquids,RL-based app,refined liquids enduse,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963
resid urban apploth,refined liquids,RL-based app,refined liquids enduse,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963
resid rural apploth,gas,Gas-based app,delivered gas,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
resid urban apploth,gas,Gas-based app,delivered gas,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
resid urban cooking,gas,gas-based cooking,delivered gas,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
resid rural cooking,gas,gas-based cooking,delivered gas,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
comm hvac,electricity,heating-cooling appl,elect_td_com,2.6,2.6,2.6,2.6,2.679588075,2.761612405,2.846147564,2.933270413,3.023060161,3.115598445,3.2109694,3.309259736,3.410558818,3.514958745,3.622554437,3.73344372,3.847727412,3.965509418,4.086896826,4.212
comm lighting,electricity,electricity based lighting,elect_td_com,15.937,15.937,15.937,15.937,16.03221822,16.12800533,16.22436474,16.32129986,16.41881414,16.51691104,16.61559403,16.71486661,16.81473232,16.91519469,17.01625729,17.11792371,17.22019755,17.32308244,17.42658203,17.5307
comm ref,electricity,electricity based ref,elect_td_com,0.19,0.19,0.19,0.19,0.192376089,0.194781892,0.197217782,0.199684134,0.202181329,0.204709754,0.207269799,0.209861859,0.212486335,0.215143632,0.21783416,0.220558335,0.223316578,0.226109314,0.228936976,0.2318
comm others,electricity,electricity based others,elect_td_com,0.7558472,0.7558472,0.7558472,0.7558472,0.765299621,0.774870251,0.784560568,0.79437207,0.804306273,0.814364709,0.824548934,0.83486052,0.84530106,0.855872166,0.866575472,0.87741263,0.888385315,0.899495221,0.910744065,0.922133584
comm others,coal,coal based others,delivered coal,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642
comm others,biomass,biomass based others,delivered biomass,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482,0.2316482
comm others,refined liquids,refined liquids based others,refined liquids enduse,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963,0.4632963
comm cooking,refined liquids,refined liquids based cooking,refined liquids enduse,0.6627,0.6627,0.6627,0.6627,0.6627,0.6627,0.6627,0.6627,0.6627,0.6627,0.6627,0.6627,0.6627,0.6627,0.6627,0.6627,0.6627,0.6627,0.6627,0.6627
comm cooking,gas,gas based cooking,delivered gas,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
comm cooking,electricity,electric cooking,elect_td_com,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
