# File: A44.india_state_pcflsp_m2_res_rural.csv
# Title: This file contains per capita flsp in all historical years
# Source:Website
# Units: NA
# Column types:ccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# -----------------------------------------
state,state_name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
HP,Himachal Pradesh,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217,13.56132217
HR,Haryana,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299,11.12987299
JH,Jharkhand,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851,8.789745851
JK,Jammu and Kashmir,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425
KA,Karnataka,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649,8.915313649
KL,Kerala,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423,16.34664423
LA,Ladakh,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425,12.4540425
LD,Lakshadweep,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639,11.50657639
MH,Maharashtra,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938,9.018050938
ML,Meghalaya,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447,9.040881447
