# File: A44.india_state_Floorspace.csv
# Title:Flrspc
# Units: billion m2
# Column types: ccccnn
# ----------
region,gcam.consumer,nodeInput,building.node.input,year,base.building.size
AS,comm,comm,comm_building,2060,0.300224516
AS,comm,comm,comm_building,2065,0.352758065
AS,comm,comm,comm_building,2070,0.403906452
AS,comm,comm,comm_building,2075,0.443496774
AS,comm,comm,comm_building,2080,0.471303226
AS,comm,comm,comm_building,2085,0.498319355
AS,comm,comm,comm_building,2090,0.522551613
AS,comm,comm,comm_building,2095,0.543041935
AS,comm,comm,comm_building,2100,0.559835484
BR,resid rural,resid rural,resid rural_building,2015,0.307122903
BR,resid rural,resid rural,resid rural_building,2020,0.341870968
BR,resid rural,resid rural,resid rural_building,2025,0.363151613
BR,resid rural,resid rural,resid rural_building,2030,0.386648387
BR,resid rural,resid rural,resid rural_building,2035,0.409619355
BR,resid rural,resid rural,resid rural_building,2040,0.438270968
BR,resid rural,resid rural,resid rural_building,2045,0.463454839
BR,resid rural,resid rural,resid rural_building,2050,0.488470968
BR,resid rural,resid rural,resid rural_building,2055,0.494483871
BR,resid rural,resid rural,resid rural_building,2060,0.49623871
BR,resid rural,resid rural,resid rural_building,2065,0.509696774
BR,resid rural,resid rural,resid rural_building,2070,0.516206452
BR,resid rural,resid rural,resid rural_building,2075,0.511277419
BR,resid rural,resid rural,resid rural_building,2080,0.496309677
BR,resid rural,resid rural,resid rural_building,2085,0.480258065
BR,resid rural,resid rural,resid rural_building,2090,0.460496774
BR,resid rural,resid rural,resid rural_building,2095,0.438625806
BR,resid rural,resid rural,resid rural_building,2100,0.415854839
BR,resid urban,resid urban,resid urban_building,2015,0.175582258
BR,resid urban,resid urban,resid urban_building,2020,0.218273226
BR,resid urban,resid urban,resid urban_building,2025,0.272133871
BR,resid urban,resid urban,resid urban_building,2030,0.338141935
BR,resid urban,resid urban,resid urban_building,2035,0.418203226
BR,resid urban,resid urban,resid urban_building,2040,0.50976129
BR,resid urban,resid urban,resid urban_building,2045,0.61436129
BR,resid urban,resid urban,resid urban_building,2050,0.724883871
BR,resid urban,resid urban,resid urban_building,2055,0.844070968
BR,resid urban,resid urban,resid urban_building,2060,0.969683871
BR,resid urban,resid urban,resid urban_building,2065,1.072616129
BR,resid urban,resid urban,resid urban_building,2070,1.163229032
BR,resid urban,resid urban,resid urban_building,2075,1.2296
BR,resid urban,resid urban,resid urban_building,2080,1.2786
BR,resid urban,resid urban,resid urban_building,2085,1.31913871
BR,resid urban,resid urban,resid urban_building,2090,1.353267742
BR,resid urban,resid urban,resid urban_building,2095,1.377764516
BR,resid urban,resid urban,resid urban_building,2100,1.396648387
BR,comm,comm,comm_building,2015,0.027809581
BR,comm,comm,comm_building,2020,0.038195161
BR,comm,comm,comm_building,2025,0.052202258
BR,comm,comm,comm_building,2030,0.071305161
BR,comm,comm,comm_building,2035,0.095486129
BR,comm,comm,comm_building,2040,0.126773548
BR,comm,comm,comm_building,2045,0.163755161
BR,comm,comm,comm_building,2050,0.206638065
BR,comm,comm,comm_building,2055,0.250244516
BR,comm,comm,comm_building,2060,0.300224516
BR,comm,comm,comm_building,2065,0.352758065
BR,comm,comm,comm_building,2070,0.403906452
BR,comm,comm,comm_building,2075,0.443496774
BR,comm,comm,comm_building,2080,0.471303226
BR,comm,comm,comm_building,2085,0.498319355
BR,comm,comm,comm_building,2090,0.522551613
BR,comm,comm,comm_building,2095,0.543041935
BR,comm,comm,comm_building,2100,0.559835484
CG,resid rural,resid rural,resid rural_building,2015,0.307122903
CG,resid rural,resid rural,resid rural_building,2020,0.341870968
CG,resid rural,resid rural,resid rural_building,2025,0.363151613
CG,resid rural,resid rural,resid rural_building,2030,0.386648387
CG,resid rural,resid rural,resid rural_building,2035,0.409619355
CG,resid rural,resid rural,resid rural_building,2040,0.438270968
CG,resid rural,resid rural,resid rural_building,2045,0.463454839
CG,resid rural,resid rural,resid rural_building,2050,0.488470968
CG,resid rural,resid rural,resid rural_building,2055,0.494483871
CG,resid rural,resid rural,resid rural_building,2060,0.49623871
CG,resid rural,resid rural,resid rural_building,2065,0.509696774
CG,resid rural,resid rural,resid rural_building,2070,0.516206452
CG,resid rural,resid rural,resid rural_building,2075,0.511277419
CG,resid rural,resid rural,resid rural_building,2080,0.496309677
CG,resid rural,resid rural,resid rural_building,2085,0.480258065
CG,resid rural,resid rural,resid rural_building,2090,0.460496774
CG,resid rural,resid rural,resid rural_building,2095,0.438625806
CG,resid rural,resid rural,resid rural_building,2100,0.415854839
CG,resid urban,resid urban,resid urban_building,2015,0.175582258
CG,resid urban,resid urban,resid urban_building,2020,0.218273226
CG,resid urban,resid urban,resid urban_building,2025,0.272133871
CG,resid urban,resid urban,resid urban_building,2030,0.338141935
CG,resid urban,resid urban,resid urban_building,2035,0.418203226
CG,resid urban,resid urban,resid urban_building,2040,0.50976129
CG,resid urban,resid urban,resid urban_building,2045,0.61436129
CG,resid urban,resid urban,resid urban_building,2050,0.724883871
CG,resid urban,resid urban,resid urban_building,2055,0.844070968
CG,resid urban,resid urban,resid urban_building,2060,0.969683871
CG,resid urban,resid urban,resid urban_building,2065,1.072616129
CG,resid urban,resid urban,resid urban_building,2070,1.163229032
CG,resid urban,resid urban,resid urban_building,2075,1.2296
CG,resid urban,resid urban,resid urban_building,2080,1.2786
CG,resid urban,resid urban,resid urban_building,2085,1.31913871
CG,resid urban,resid urban,resid urban_building,2090,1.353267742
CG,resid urban,resid urban,resid urban_building,2095,1.377764516
CG,resid urban,resid urban,resid urban_building,2100,1.396648387
CG,comm,comm,comm_building,2015,0.027809581
CG,comm,comm,comm_building,2020,0.038195161
CG,comm,comm,comm_building,2025,0.052202258
CG,comm,comm,comm_building,2030,0.071305161
CG,comm,comm,comm_building,2035,0.095486129
CG,comm,comm,comm_building,2040,0.126773548
CG,comm,comm,comm_building,2045,0.163755161
CG,comm,comm,comm_building,2050,0.206638065
CG,comm,comm,comm_building,2055,0.250244516
CG,comm,comm,comm_building,2060,0.300224516
CG,comm,comm,comm_building,2065,0.352758065
CG,comm,comm,comm_building,2070,0.403906452
CG,comm,comm,comm_building,2075,0.443496774
CG,comm,comm,comm_building,2080,0.471303226
CG,comm,comm,comm_building,2085,0.498319355
CG,comm,comm,comm_building,2090,0.522551613
CG,comm,comm,comm_building,2095,0.543041935
CG,comm,comm,comm_building,2100,0.559835484
CH,resid rural,resid rural,resid rural_building,2015,0.307122903
CH,resid rural,resid rural,resid rural_building,2020,0.341870968
CH,resid rural,resid rural,resid rural_building,2025,0.363151613
CH,resid rural,resid rural,resid rural_building,2030,0.386648387
CH,resid rural,resid rural,resid rural_building,2035,0.409619355
CH,resid rural,resid rural,resid rural_building,2040,0.438270968
CH,resid rural,resid rural,resid rural_building,2045,0.463454839
CH,resid rural,resid rural,resid rural_building,2050,0.488470968
CH,resid rural,resid rural,resid rural_building,2055,0.494483871
CH,resid rural,resid rural,resid rural_building,2060,0.49623871
CH,resid rural,resid rural,resid rural_building,2065,0.509696774
CH,resid rural,resid rural,resid rural_building,2070,0.516206452
CH,resid rural,resid rural,resid rural_building,2075,0.511277419
CH,resid rural,resid rural,resid rural_building,2080,0.496309677
CH,resid rural,resid rural,resid rural_building,2085,0.480258065
CH,resid rural,resid rural,resid rural_building,2090,0.460496774
CH,resid rural,resid rural,resid rural_building,2095,0.438625806
CH,resid rural,resid rural,resid rural_building,2100,0.415854839
CH,resid urban,resid urban,resid urban_building,2015,0.175582258
CH,resid urban,resid urban,resid urban_building,2020,0.218273226
CH,resid urban,resid urban,resid urban_building,2025,0.272133871
CH,resid urban,resid urban,resid urban_building,2030,0.338141935
CH,resid urban,resid urban,resid urban_building,2035,0.418203226
CH,resid urban,resid urban,resid urban_building,2040,0.50976129
CH,resid urban,resid urban,resid urban_building,2045,0.61436129
CH,resid urban,resid urban,resid urban_building,2050,0.724883871
CH,resid urban,resid urban,resid urban_building,2055,0.844070968
CH,resid urban,resid urban,resid urban_building,2060,0.969683871
CH,resid urban,resid urban,resid urban_building,2065,1.072616129
CH,resid urban,resid urban,resid urban_building,2070,1.163229032
CH,resid urban,resid urban,resid urban_building,2075,1.2296
CH,resid urban,resid urban,resid urban_building,2080,1.2786
CH,resid urban,resid urban,resid urban_building,2085,1.31913871
CH,resid urban,resid urban,resid urban_building,2090,1.353267742
CH,resid urban,resid urban,resid urban_building,2095,1.377764516
CH,resid urban,resid urban,resid urban_building,2100,1.396648387
CH,comm,comm,comm_building,2015,0.027809581
CH,comm,comm,comm_building,2020,0.038195161
CH,comm,comm,comm_building,2025,0.052202258
CH,comm,comm,comm_building,2030,0.071305161
CH,comm,comm,comm_building,2035,0.095486129
CH,comm,comm,comm_building,2040,0.126773548
CH,comm,comm,comm_building,2045,0.163755161
CH,comm,comm,comm_building,2050,0.206638065
CH,comm,comm,comm_building,2055,0.250244516
CH,comm,comm,comm_building,2060,0.300224516
CH,comm,comm,comm_building,2065,0.352758065
CH,comm,comm,comm_building,2070,0.403906452
CH,comm,comm,comm_building,2075,0.443496774
CH,comm,comm,comm_building,2080,0.471303226
CH,comm,comm,comm_building,2085,0.498319355
CH,comm,comm,comm_building,2090,0.522551613
CH,comm,comm,comm_building,2095,0.543041935
CH,comm,comm,comm_building,2100,0.559835484
DL,resid rural,resid rural,resid rural_building,2015,0.307122903
DL,resid rural,resid rural,resid rural_building,2020,0.341870968
DL,resid rural,resid rural,resid rural_building,2025,0.363151613
DL,resid rural,resid rural,resid rural_building,2030,0.386648387
DL,resid rural,resid rural,resid rural_building,2035,0.409619355
DL,resid rural,resid rural,resid rural_building,2040,0.438270968
DL,resid rural,resid rural,resid rural_building,2045,0.463454839
DL,resid rural,resid rural,resid rural_building,2050,0.488470968
DL,resid rural,resid rural,resid rural_building,2055,0.494483871
DL,resid rural,resid rural,resid rural_building,2060,0.49623871
DL,resid rural,resid rural,resid rural_building,2065,0.509696774
DL,resid rural,resid rural,resid rural_building,2070,0.516206452
DL,resid rural,resid rural,resid rural_building,2075,0.511277419
