# File: A54.india_state_StubTranTechCost.csv
# Title: Non-energy sub technology transport cost at state level
# Units: 1990$/vkm
# Column types: ccccnnnnnnnnnnnnnnnnnnn
# ----------
region,supplysector,tranSubsector,stub.technology,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
TN,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.045816596,0.047144829,0.048511568,0.049917929,0.051366481,0.052858489,0.054395258,0.05597813,0.057608488,0.057608488,0.057608488,0.057608488,0.057608488,0.057608488,0.057608488,0.057608488,0.057608488,0.057608488,0.057608488
TR,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.045445284,0.046762377,0.048117642,0.049512186,0.050948565,0.052428036,0.053951892,0.055521462,0.05713812,0.05713812,0.05713812,0.05713812,0.05713812,0.05713812,0.05713812,0.05713812,0.05713812,0.05713812,0.05713812
TS,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.047673153,0.049057086,0.050481195,0.051946645,0.053456058,0.055010754,0.05661209,0.058261467,0.059960325,0.059960325,0.059960325,0.059960325,0.059960325,0.059960325,0.059960325,0.059960325,0.059960325,0.059960325,0.059960325
UK,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.047260584,0.04863214,0.0500435,0.051495819,0.052991707,0.054532473,0.056119461,0.057754059,0.059437695,0.059437695,0.059437695,0.059437695,0.059437695,0.059437695,0.059437695,0.059437695,0.059437695,0.059437695,0.059437695
UP,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.046435448,0.047782248,0.04916811,0.050594167,0.052063007,0.053575911,0.055134202,0.056739242,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434
WB,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.045899109,0.047229818,0.048599107,0.050008094,0.051459351,0.052954145,0.054493784,0.056079611,0.057713014,0.057713014,0.057713014,0.057713014,0.057713014,0.057713014,0.057713014,0.057713014,0.057713014,0.057713014,0.057713014
AN,trn_pass_road_LDV_2W,LDV_2W,Electric,0.085363873,0.075710571,0.067148904,0.059555426,0.054915496,0.052766627,0.052026807,0.051706961,0.051416504,0.051154283,0.050956126,0.050821191,0.050748882,0.050738843,0.050790958,0.050905345,0.051082361,0.051322603,0.051322603
AP,trn_pass_road_LDV_2W,LDV_2W,Electric,0.09043439,0.080223434,0.071165398,0.063130105,0.058204201,0.055923784,0.055139764,0.054801749,0.053906877,0.0536284,0.053417958,0.053274658,0.053197867,0.053187206,0.053242551,0.053364029,0.05355202,0.053807155,0.053807155
AR,trn_pass_road_LDV_2W,LDV_2W,Electric,0.087080046,0.077238001,0.068508332,0.060765317,0.056028596,0.053835203,0.053080423,0.052754428,0.051871576,0.051603853,0.051401537,0.051263771,0.051189945,0.051179696,0.051232904,0.051349691,0.051530422,0.051775704,0.051775704
AS,trn_pass_road_LDV_2W,LDV_2W,Electric,0.087704109,0.07779343,0.06900267,0.061205278,0.05643336,0.054223776,0.053463557,0.053135325,0.052250237,0.051980513,0.051776686,0.05163789,0.051563512,0.051553186,0.051606791,0.051724451,0.051906533,0.052153648,0.052153648
BR,trn_pass_road_LDV_2W,LDV_2W,Electric,0.088874229,0.07883486,0.069929553,0.062030204,0.057192292,0.054952351,0.054181931,0.053849507,0.052960226,0.05268675,0.052480088,0.052339362,0.05226395,0.05225348,0.052307831,0.052427128,0.052611741,0.052862294,0.052862294
CG,trn_pass_road_LDV_2W,LDV_2W,Electric,0.086533991,0.076752,0.068075787,0.060380352,0.055674428,0.053495201,0.052745182,0.052421143,0.051540248,0.051274275,0.051073283,0.050936418,0.050863074,0.050852892,0.050905752,0.051021775,0.051201324,0.051445003,0.051445003
CH,trn_pass_road_LDV_2W,LDV_2W,Electric,0.085753912,0.076057714,0.067457865,0.059830401,0.055168473,0.053009485,0.052266265,0.051945022,0.051066922,0.05080345,0.050604348,0.050468769,0.050396116,0.050386029,0.050438392,0.050553325,0.050731185,0.050972572,0.050972572
DD,trn_pass_road_LDV_2W,LDV_2W,Electric,0.085363873,0.075710571,0.067148904,0.059555426,0.054915496,0.052766627,0.052026807,0.051706961,0.050830259,0.050568037,0.05036988,0.050234945,0.050162636,0.050152598,0.050204712,0.050319099,0.050496116,0.050736357,0.050736357
DL,trn_pass_road_LDV_2W,LDV_2W,Electric,0.092384594,0.081959152,0.072710203,0.064504982,0.059469088,0.057138075,0.056337055,0.055992052,0.055090192,0.054805463,0.054590296,0.054443779,0.054365263,0.054354363,0.05441095,0.054535156,0.054727367,0.054988231,0.054988231
DN,trn_pass_road_LDV_2W,LDV_2W,Electric,0.085363873,0.075710571,0.067148904,0.059555426,0.054915496,0.052766627,0.052026807,0.051706961,0.050830259,0.050568037,0.05036988,0.050234945,0.050162636,0.050152598,0.050204712,0.050319099,0.050496116,0.050736357,0.050736357
GA,trn_pass_road_LDV_2W,LDV_2W,Electric,0.089654309,0.079529147,0.070547476,0.062580155,0.057698246,0.055438067,0.054660848,0.054325628,0.053433551,0.053157575,0.052949023,0.05280701,0.052730908,0.052720343,0.052775191,0.052895578,0.053081881,0.053334724,0.053334724
GJ,trn_pass_road_LDV_2W,LDV_2W,Electric,0.088094149,0.078140573,0.069311631,0.061480253,0.056686337,0.054466634,0.053703015,0.053373386,0.0524869,0.052215925,0.052011153,0.051871714,0.051796991,0.051786617,0.051840471,0.051958677,0.052141602,0.052389864,0.052389864
HP,trn_pass_road_LDV_2W,LDV_2W,Electric,0.086533991,0.076752,0.068075787,0.060380352,0.055674428,0.053495201,0.052745182,0.052421143,0.051540248,0.051274275,0.051073283,0.050936418,0.050863074,0.050852892,0.050905752,0.051021775,0.051201324,0.051445003,0.051445003
HR,trn_pass_road_LDV_2W,LDV_2W,Electric,0.088094149,0.078140573,0.069311631,0.061480253,0.056686337,0.054466634,0.053703015,0.053373386,0.0524869,0.052215925,0.052011153,0.051871714,0.051796991,0.051786617,0.051840471,0.051958677,0.052141602,0.052389864,0.052389864
JH,trn_pass_road_LDV_2W,LDV_2W,Electric,0.088874229,0.07883486,0.069929553,0.062030204,0.057192292,0.054952351,0.054181931,0.053849507,0.052960226,0.05268675,0.052480088,0.052339362,0.05226395,0.05225348,0.052307831,0.052427128,0.052611741,0.052862294,0.052862294
JK,trn_pass_road_LDV_2W,LDV_2W,Electric,0.088094149,0.078140573,0.069311631,0.061480253,0.056686337,0.054466634,0.053703015,0.053373386,0.0524869,0.052215925,0.052011153,0.051871714,0.051796991,0.051786617,0.051840471,0.051958677,0.052141602,0.052389864,0.052389864
KA,trn_pass_road_LDV_2W,LDV_2W,Electric,0.092774635,0.082306296,0.073019164,0.064779958,0.059722065,0.057380933,0.056576513,0.056230113,0.055326855,0.055040875,0.054824764,0.054677603,0.054598742,0.054587794,0.05464463,0.054769382,0.054962437,0.055224446,0.055224446
KL,trn_pass_road_LDV_2W,LDV_2W,Electric,0.088094149,0.078140573,0.069311631,0.061480253,0.056686337,0.054466634,0.053703015,0.053373386,0.0524869,0.052215925,0.052011153,0.051871714,0.051796991,0.051786617,0.051840471,0.051958677,0.052141602,0.052389864,0.052389864
LA,trn_pass_road_LDV_2W,LDV_2W,Electric,0.088094149,0.078140573,0.069311631,0.061480253,0.056686337,0.054466634,0.053703015,0.053373386,0.0524869,0.052215925,0.052011153,0.051871714,0.051796991,0.051786617,0.051840471,0.051958677,0.052141602,0.052389864,0.052389864
LD,trn_pass_road_LDV_2W,LDV_2W,Electric,0.085363873,0.075710571,0.067148904,0.059555426,0.054915496,0.052766627,0.052026807,0.051706961,0.050830259,0.050568037,0.05036988,0.050234945,0.050162636,0.050152598,0.050204712,0.050319099,0.050496116,0.050736357,0.050736357
MH,trn_pass_road_LDV_2W,LDV_2W,Electric,0.088874229,0.07883486,0.069929553,0.062030204,0.057192292,0.054952351,0.054181931,0.053849507,0.052960226,0.05268675,0.052480088,0.052339362,0.05226395,0.05225348,0.052307831,0.052427128,0.052611741,0.052862294,0.052862294
ML,trn_pass_road_LDV_2W,LDV_2W,Electric,0.086143952,0.076404857,0.067766826,0.060105376,0.055421451,0.053252343,0.052505724,0.052183083,0.051303585,0.051038862,0.050838815,0.050702594,0.050629595,0.05061946,0.050672072,0.05078755,0.050966255,0.051208788,0.051208788
MN,trn_pass_road_LDV_2W,LDV_2W,Electric,0.086533991,0.076752,0.068075787,0.060380352,0.055674428,0.053495201,0.052745182,0.052421143,0.051540248,0.051274275,0.051073283,0.050936418,0.050863074,0.050852892,0.050905752,0.051021775,0.051201324,0.051445003,0.051445003
MP,trn_pass_road_LDV_2W,LDV_2W,Electric,0.085363873,0.075710571,0.067148904,0.059555426,0.054915496,0.052766627,0.052026807,0.051706961,0.050830259,0.050568037,0.05036988,0.050234945,0.050162636,0.050152598,0.050204712,0.050319099,0.050496116,0.050736357,0.050736357
MZ,trn_pass_road_LDV_2W,LDV_2W,Electric,0.085207858,0.075571713,0.067025319,0.059445436,0.054814305,0.052669483,0.051931024,0.051611737,0.050735593,0.050473872,0.050276093,0.050141416,0.050069245,0.050059225,0.05011124,0.050225409,0.050402088,0.050641871,0.050641871
NL,trn_pass_road_LDV_2W,LDV_2W,Electric,0.08692403,0.077099143,0.068384748,0.060655327,0.055927405,0.053738059,0.05298464,0.052659204,0.051776911,0.051509688,0.05130775,0.051170242,0.051096553,0.051086323,0.051139432,0.051256001,0.051436394,0.051681218,0.051681218
OD,trn_pass_road_LDV_2W,LDV_2W,Electric,0.08731407,0.077446287,0.068693709,0.060930303,0.056180383,0.053980918,0.053224098,0.052897264,0.052013574,0.0517451,0.051542218,0.051404066,0.051330033,0.051319755,0.051373112,0.051490226,0.051671463,0.051917433,0.051917433
PB,trn_pass_road_LDV_2W,LDV_2W,Electric,0.085753912,0.076057714,0.067457865,0.059830401,0.055168473,0.053009485,0.052266265,0.051945022,0.051066922,0.05080345,0.050604348,0.050468769,0.050396116,0.050386029,0.050438392,0.050553325,0.050731185,0.050972572,0.050972572
PC,trn_pass_road_LDV_2W,LDV_2W,Electric,0.085363873,0.075710571,0.067148904,0.059555426,0.054915496,0.052766627,0.052026807,0.051706961,0.050830259,0.050568037,0.05036988,0.050234945,0.050162636,0.050152598,0.050204712,0.050319099,0.050496116,0.050736357,0.050736357
RJ,trn_pass_road_LDV_2W,LDV_2W,Electric,0.086533991,0.076752,0.068075787,0.060380352,0.055674428,0.053495201,0.052745182,0.052421143,0.051540248,0.051274275,0.051073283,0.050936418,0.050863074,0.050852892,0.050905752,0.051021775,0.051201324,0.051445003,0.051445003
SK,trn_pass_road_LDV_2W,LDV_2W,Electric,0.08692403,0.077099143,0.068384748,0.060655327,0.055927405,0.053738059,0.05298464,0.052659204,0.051776911,0.051509688,0.05130775,0.051170242,0.051096553,0.051086323,0.051139432,0.051256001,0.051436394,0.051681218,0.051681218
TN,trn_pass_road_LDV_2W,LDV_2W,Electric,0.08692403,0.077099143,0.068384748,0.060655327,0.055927405,0.053738059,0.05298464,0.052659204,0.051776911,0.051509688,0.05130775,0.051170242,0.051096553,0.051086323,0.051139432,0.051256001,0.051436394,0.051681218,0.051681218
TR,trn_pass_road_LDV_2W,LDV_2W,Electric,0.086221959,0.076474286,0.067828618,0.060160372,0.055472046,0.053300915,0.052553615,0.052230695,0.051350917,0.051085945,0.050885709,0.050749358,0.050676291,0.050666147,0.050718808,0.050834395,0.051013269,0.051256031,0.051256031
