# File: A00.india_state_laborforce.csv
# Title: Estimated labour force projections
# Units: NA
# Description: Estimated to correct the trajectory of GDP growth rates
# Column types: cin
# ----------
region,year,laborforce
JK,2020,0.281309705
JK,2025,0.292953728
JK,2030,0.304305748
JK,2035,0.313446046
JK,2040,0.319732348
JK,2045,0.319287317
JK,2050,0.31191208
JK,2055,0.299293336
JK,2060,0.285221296
JK,2065,0.269580043
JK,2070,0.253525419
JK,2075,0.236747145
JK,2080,0.219766034
JK,2085,0.202102402
JK,2090,0.184616796
JK,2095,0.167795703
JK,2100,0.153903604
KA,1975,0.5
KA,1990,0.5
KA,2005,0.5
KA,2010,0.370000132
KA,2015,0.474999473
KA,2020,0.454982042
KA,2025,0.48857304
KA,2030,0.521638044
KA,2035,0.550161415
KA,2040,0.573551479
KA,2045,0.584574561
KA,2050,0.582135239
KA,2055,0.567580459
KA,2060,0.549163122
KA,2065,0.526904569
KA,2070,0.502983982
KA,2075,0.476707983
KA,2080,0.44906865
KA,2085,0.419029087
KA,2090,0.38832835
KA,2095,0.358047837
KA,2100,0.333104752
KL,1975,0.5
KL,1990,0.5
KL,2005,0.5
KL,2010,0.569999601
KL,2015,0.648999652
KL,2020,0.586867687
KL,2025,0.640952352
KL,2030,0.695238492
KL,2035,0.748595069
KL,2040,0.79754029
KL,2045,0.83036526
KL,2050,0.844375139
KL,2055,0.837202568
KL,2060,0.823369018
KL,2065,0.803417846
KL,2070,0.780430249
KL,2075,0.753114408
KL,2080,0.72282486
KL,2085,0.687639155
KL,2090,0.65017664
KL,2095,0.612097647
KL,2100,0.581899203
LA,1975,0.5
LA,1990,0.5
LA,2005,0.5
LA,2010,0.659100937
LA,2015,0.649114962
LA,2020,0.535564089
LA,2025,0.572821932
LA,2030,0.608990417
LA,2035,0.643960034
LA,2040,0.671784345
LA,2045,0.683639766
LA,2050,0.682077252
LA,2055,0.665408432
LA,2060,0.644990583
LA,2065,0.618800746
LA,2070,0.589506158
LA,2075,0.555516747
LA,2080,0.52136999
LA,2085,0.482719501
LA,2090,0.444558236
LA,2095,0.405187949
LA,2100,0.373562139
LD,1975,0.5
LD,1990,0.5
LD,2005,0.5
LD,2010,0.149999886
LD,2015,0.148000006
LD,2020,0.118998318
LD,2025,0.124904027
LD,2030,0.131709816
LD,2035,0.136860402
LD,2040,0.141192495
LD,2045,0.141533002
LD,2050,0.14039034
LD,2055,0.135870996
LD,2060,0.13201724
LD,2065,0.126351033
LD,2070,0.120532003
LD,2075,0.113452769
LD,2080,0.105595092
LD,2085,0.097765842
LD,2090,0.089588003
LD,2095,0.082140406
LD,2100,0.075127153
MH,1975,0.5
MH,1990,0.5
MH,2005,0.5
MH,2010,0.380001283
MH,2015,0.355000541
MH,2020,0.285726022
MH,2025,0.316720117
MH,2030,0.348402864
MH,2035,0.376682491
MH,2040,0.401403482
MH,2045,0.417343698
MH,2050,0.423075735
MH,2055,0.419851143
MH,2060,0.412465904
MH,2065,0.400606786
MH,2070,0.385916114
MH,2075,0.367952324
MH,2080,0.347604878
MH,2085,0.324248878
MH,2090,0.299425538
MH,2095,0.274200382
