# File: A23.india_state_tech_eff.csv
# Title: India efficiencies by fuel and electric sector
# Units: Unitless efficiency (electricity out / energy in)
# Source: Assumption from India Data
# Comments: Correction for coal use in base years
# Column types: ccccccnnnn
# ----------
region,supplysector,subsector,stub.technology,minicam.energy.input,market.name,1975,1990,2005,2010
UK,electricity,gas,gas (steam/CT),wholesale gas,Northern,0.141405,0.247442,0.33,0.376667869
UK,electricity,gas,gas (CC),wholesale gas,Northern,0.45,0.45,0.54363,0.57608
UK,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,Northern,0.2,0.240573,0.249086,0.202075
UK,electricity,biomass,biomass (conv),regional biomass,Northern,0.33,0.33,0.150072,0.149919
WB,electricity,coal,coal (conv pul),regional coal,Eastern,0.287589,0.296496,0.26684,0.28181766
WB,electricity,gas,gas (steam/CT),wholesale gas,Eastern,0.141405,0.247442,0.33,0.376667869
WB,electricity,gas,gas (CC),wholesale gas,Eastern,0.45,0.45,0.54363,0.57608
WB,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,Eastern,0.2,0.240573,0.249086,0.202075
WB,electricity,biomass,biomass (conv),regional biomass,Eastern,0.33,0.33,0.150072,0.149919
DD,electricity,coal,coal (conv pul),regional coal,Western,0.287589,0.296496,0.26684,0.278752
DD,electricity,gas,gas (steam/CT),wholesale gas,Western,0.141405,0.247442,0.33,0.376667869
DD,electricity,gas,gas (CC),wholesale gas,Western,0.45,0.45,0.54363,0.57608
DD,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,Western,0.2,0.240573,0.249086,0.202075
DD,electricity,biomass,biomass (conv),regional biomass,Western,0.33,0.33,0.150072,0.149919
DN,electricity,coal,coal (conv pul),regional coal,Western,0.287589,0.296496,0.26684,0.278752
DN,electricity,gas,gas (steam/CT),wholesale gas,Western,0.141405,0.247442,0.33,0.376667869
DN,electricity,gas,gas (CC),wholesale gas,Western,0.45,0.45,0.54363,0.57608
DN,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,Western,0.2,0.240573,0.249086,0.202075
DN,electricity,biomass,biomass (conv),regional biomass,Western,0.33,0.33,0.150072,0.149919
LA,electricity,coal,coal (conv pul),regional coal,Northern,0.287589,0.296496,0.26684,0.278752
