# File: A44.india_state_pcflsp_m2_res_urban.csv
# Title: This file contains per capita flsp in all historical years
# Source:Website
# Units: NA
# Column types:ccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# -----------------------------------------
state,state_name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GA,Goa,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862,10.99398862
GJ,Gujarat,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892,8.92934892
HP,Himachal Pradesh,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138,11.17693138
HR,Haryana,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323,8.624444323
JH,Jharkhand,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855,7.248017855
JK,Jammu and Kashmir,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352
KA,Karnataka,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199,9.042599199
KL,Kerala,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144,13.07605144
LA,Ladakh,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352,9.791793352
LD,Lakshadweep,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435,11.4121435
MH,Maharashtra,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582,6.481400582
ML,Meghalaya,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564,8.441501564
MN,Manipur,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617,11.87385617
MP,Madhya Pradesh,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364,8.485059364
MZ,Mizoram,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998,9.086156998
