INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
IndiaIndTechInterp_new,,,,,,,,
,,,,,,,,
region,supplysector,subsector,apply.to,from.year,to.year,from.value,to-value,interpolation.function
AS,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
BR,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
CG,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
CH,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
DD,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
DL,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
DN,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
GA,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
GJ,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
HP,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
HR,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
JH,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
JK,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
KA,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
KL,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
LA,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
LD,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
MH,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
ML,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
MN,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
MP,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
MZ,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
NL,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
OD,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
PB,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
PC,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
RJ,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
SK,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
TN,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
TR,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
TS,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
UK,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
UP,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
WB,Chem_Fert_enuse,coal,share-weight,2045,2100,0,0,fixed
AN,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
AP,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
AR,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
AS,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
BR,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
CG,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
CH,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
DD,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
DL,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
DN,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
GA,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
GJ,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
HP,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
HR,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
JH,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
JK,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
KA,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
KL,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
LA,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
LD,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
MH,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
ML,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
MN,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
MP,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
MZ,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
NL,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
OD,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
PB,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
PC,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
