INPUT_TABLE,,,,,,
Variable ID,,,,,,
RegionTechCost,,,,,,
,,,,,,
Region,sector.name,subsector.name,technology,year,minicam.non.energy.input,input.cost
JK,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.02068423
KA,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.02068423
KL,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.02068423
LA,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.02068423
LD,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.02068423
MH,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.02068423
ML,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.02068423
MN,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.02068423
MP,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.02068423
MZ,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.02068423
NL,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.02068423
OD,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,9.85483642
PB,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.02068423
PC,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.02068423
RJ,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.02068423
SK,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.02068423
TN,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.64923628
TR,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.02068423
TS,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.02068423
UK,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.99094678
UP,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,10.01600814
WB,Agriculture_enuse,refined liquids,refined liquids cogen,2010,non-energy,11.02068423
AN,cement,cement,cement,2010,non-energy,544.4040703
AP,cement,cement,cement,2010,non-energy,544.4040703
AR,cement,cement,cement,2010,non-energy,544.4040703
AS,cement,cement,cement,2010,non-energy,544.4040703
BR,cement,cement,cement,2010,non-energy,544.4040703
CG,cement,cement,cement,2010,non-energy,544.4040703
CH,cement,cement,cement,2010,non-energy,544.4040703
DD,cement,cement,cement,2010,non-energy,544.4040703
DL,cement,cement,cement,2010,non-energy,544.4040703
DN,cement,cement,cement,2010,non-energy,544.4040703
GA,cement,cement,cement,2010,non-energy,544.4040703
GJ,cement,cement,cement,2010,non-energy,508.9575355
HP,cement,cement,cement,2010,non-energy,544.4040703
HR,cement,cement,cement,2010,non-energy,544.4040703
JH,cement,cement,cement,2010,non-energy,544.4040703
JK,cement,cement,cement,2010,non-energy,544.4040703
KA,cement,cement,cement,2010,non-energy,544.4040703
KL,cement,cement,cement,2010,non-energy,544.4040703
LA,cement,cement,cement,2010,non-energy,544.4040703
LD,cement,cement,cement,2010,non-energy,544.4040703
MH,cement,cement,cement,2010,non-energy,544.4040703
ML,cement,cement,cement,2010,non-energy,544.4040703
MN,cement,cement,cement,2010,non-energy,544.4040703
MP,cement,cement,cement,2010,non-energy,544.4040703
MZ,cement,cement,cement,2010,non-energy,544.4040703
NL,cement,cement,cement,2010,non-energy,544.4040703
OD,cement,cement,cement,2010,non-energy,530.4002908
PB,cement,cement,cement,2010,non-energy,544.4040703
PC,cement,cement,cement,2010,non-energy,544.4040703
RJ,cement,cement,cement,2010,non-energy,544.4040703
SK,cement,cement,cement,2010,non-energy,544.4040703
TN,cement,cement,cement,2010,non-energy,696.11291
TR,cement,cement,cement,2010,non-energy,544.4040703
TS,cement,cement,cement,2010,non-energy,544.4040703
UK,cement,cement,cement,2010,non-energy,629.1429902
UP,cement,cement,cement,2010,non-energy,661.6562971
WB,cement,cement,cement,2010,non-energy,544.4040703
AN,process heat cement,biomass,biomass,2010,non-energy,28.0921056
AP,process heat cement,biomass,biomass,2010,non-energy,28.0921056
AR,process heat cement,biomass,biomass,2010,non-energy,28.0921056
AS,process heat cement,biomass,biomass,2010,non-energy,28.0921056
BR,process heat cement,biomass,biomass,2010,non-energy,28.0921056
CG,process heat cement,biomass,biomass,2010,non-energy,28.0921056
CH,process heat cement,biomass,biomass,2010,non-energy,28.0921056
DD,process heat cement,biomass,biomass,2010,non-energy,28.0921056
DL,process heat cement,biomass,biomass,2010,non-energy,28.0921056
DN,process heat cement,biomass,biomass,2010,non-energy,28.0921056
GA,process heat cement,biomass,biomass,2010,non-energy,28.0921056
GJ,process heat cement,biomass,biomass,2010,non-energy,21.28144737
HP,process heat cement,biomass,biomass,2010,non-energy,28.0921056
HR,process heat cement,biomass,biomass,2010,non-energy,28.0921056
JH,process heat cement,biomass,biomass,2010,non-energy,28.0921056
JK,process heat cement,biomass,biomass,2010,non-energy,28.0921056
KA,process heat cement,biomass,biomass,2010,non-energy,28.0921056
KL,process heat cement,biomass,biomass,2010,non-energy,28.0921056
LA,process heat cement,biomass,biomass,2010,non-energy,28.0921056
