INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
IndiaIndTechInterp_new,,,,,,,,
,,,,,,,,
region,supplysector,subsector,apply.to,from.year,to.year,from.value,to-value,interpolation.function
LA,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
LD,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
MH,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
ML,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
MN,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
MP,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
MZ,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
NL,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
OD,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
PB,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
PC,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
RJ,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
SK,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
TN,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
TR,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
TS,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
UK,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
UP,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
WB,Iron and Steel_fsuse,gas,share-weight,2010,2015,0,0,fixed
AN,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
AP,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
AR,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
AS,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
BR,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
CG,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
CH,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
DD,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
DL,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
DN,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
GA,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
GJ,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
HP,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
HR,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
JH,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
JK,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
KA,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
KL,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
LA,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
LD,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
MH,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
ML,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
MN,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
MP,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
MZ,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
NL,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
OD,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
PB,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
PC,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
RJ,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
SK,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
TN,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
TR,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
TS,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
UK,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
UP,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
WB,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
AN,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
AP,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
AR,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
AS,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
BR,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
CG,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
CH,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
DD,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
DL,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
DN,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
GA,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
GJ,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
HP,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
HR,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
JH,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
JK,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
KA,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
KL,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
LA,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
LD,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
MH,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
ML,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
MN,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
MP,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
MZ,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
NL,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
OD,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
PB,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
PC,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
RJ,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
SK,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
TN,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
TR,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
TS,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
UK,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
UP,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
WB,Iron and Steel_fsuse,gas,share-weight,2015,2100,0,0.3,linear
AN,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
AP,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
AR,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
AS,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
BR,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
CG,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
CH,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
DD,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
DL,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
DN,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
GA,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
GJ,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
