INPUT_TABLE,,,
Variable ID,,,
IncomeElasticity,,,
,,,
region,energy.final.demand,year,income.elasticity
OD,trn_aviation_intl,2060,1
PB,trn_aviation_intl,2060,1
PC,trn_aviation_intl,2060,1
RJ,trn_aviation_intl,2060,1
SK,trn_aviation_intl,2060,1
TN,trn_aviation_intl,2060,1
TR,trn_aviation_intl,2060,1
TS,trn_aviation_intl,2060,1
UK,trn_aviation_intl,2060,1
UP,trn_aviation_intl,2060,1
WB,trn_aviation_intl,2060,1
AN,trn_aviation_intl,2065,1
AP,trn_aviation_intl,2065,1
AR,trn_aviation_intl,2065,1
AS,trn_aviation_intl,2065,1
BR,trn_aviation_intl,2065,1
CG,trn_aviation_intl,2065,1
CH,trn_aviation_intl,2065,1
DD,trn_aviation_intl,2065,1
DL,trn_aviation_intl,2065,1
DN,trn_aviation_intl,2065,1
GA,trn_aviation_intl,2065,1
GJ,trn_aviation_intl,2065,1
HP,trn_aviation_intl,2065,1
HR,trn_aviation_intl,2065,1
JH,trn_aviation_intl,2065,1
JK,trn_aviation_intl,2065,1
KA,trn_aviation_intl,2065,1
KL,trn_aviation_intl,2065,1
LA,trn_aviation_intl,2065,1
LD,trn_aviation_intl,2065,1
MH,trn_aviation_intl,2065,1
ML,trn_aviation_intl,2065,1
MN,trn_aviation_intl,2065,1
MP,trn_aviation_intl,2065,1
MZ,trn_aviation_intl,2065,1
NL,trn_aviation_intl,2065,1
OD,trn_aviation_intl,2065,1
PB,trn_aviation_intl,2065,1
PC,trn_aviation_intl,2065,1
RJ,trn_aviation_intl,2065,1
SK,trn_aviation_intl,2065,1
TN,trn_aviation_intl,2065,1
TR,trn_aviation_intl,2065,1
TS,trn_aviation_intl,2065,1
UK,trn_aviation_intl,2065,1
UP,trn_aviation_intl,2065,1
WB,trn_aviation_intl,2065,1
AN,trn_aviation_intl,2070,1
AP,trn_aviation_intl,2070,1
AR,trn_aviation_intl,2070,1
AS,trn_aviation_intl,2070,1
BR,trn_aviation_intl,2070,1
CG,trn_aviation_intl,2070,1
CH,trn_aviation_intl,2070,1
DD,trn_aviation_intl,2070,1
DL,trn_aviation_intl,2070,1
DN,trn_aviation_intl,2070,1
GA,trn_aviation_intl,2070,1
GJ,trn_aviation_intl,2070,1
HP,trn_aviation_intl,2070,1
HR,trn_aviation_intl,2070,1
JH,trn_aviation_intl,2070,1
