INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
IndiaIndusSharewt,,,,,,,,
,,,,,,,,
region,supplysector,subsector,apply.to,from.year,to.year,from.value,to-value,interpolation.function
GA,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
GJ,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
HP,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
HR,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
JH,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
JK,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
KA,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
KL,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
LA,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
LD,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
MH,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
ML,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
MN,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
MP,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
MZ,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
NL,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
OD,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
PB,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
PC,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
RJ,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
SK,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
TN,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
TR,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
TS,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
UK,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
UP,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
WB,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
AN,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
AP,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
AR,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
AS,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
BR,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
CG,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
CH,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
DD,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
DL,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
DN,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
GA,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
GJ,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
HP,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
HR,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
JH,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
JK,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
KA,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
KL,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
LA,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
LD,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
MH,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
ML,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
MN,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
MP,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
MZ,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
NL,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
OD,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
PB,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
PC,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
RJ,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
SK,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
TN,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
TR,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
TS,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
UK,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
UP,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
WB,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
AN,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
AP,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
AR,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
AS,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
BR,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
CG,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
CH,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
DD,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
DL,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
DN,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
GA,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
GJ,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
HP,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
HR,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
JH,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
JK,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
KA,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
KL,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
LA,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
LD,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
MH,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
ML,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
MN,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
MP,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
MZ,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
NL,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
OD,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
