INPUT_TABLE,,,,,,,,,
Variable ID,,,,,,,,,
RegionTechEff,,,,,,,,,
,,,,,,,,,
Region,sector.name,subsector.name,technology,year,minicam.energy.input,efficiency,,,
India,electricity,gas,gas (CC CCS),2020,wholesale gas,0.56,,,
India,electricity,gas,gas (CC CCS),2025,wholesale gas,0.565,,,
India,electricity,gas,gas (CC CCS),2030,wholesale gas,0.57,,,
India,electricity,gas,gas (CC CCS),2035,wholesale gas,0.575,,,
India,electricity,gas,gas (CC CCS),2040,wholesale gas,0.58,,,
India,electricity,gas,gas (CC CCS),2045,wholesale gas,0.58,,,
India,electricity,gas,gas (CC CCS),2050,wholesale gas,0.58,,,
India,electricity,gas,gas (CC CCS),2055,wholesale gas,0.58,,,
India,electricity,gas,gas (CC CCS),2060,wholesale gas,0.58,,,
India,electricity,gas,gas (CC CCS),2065,wholesale gas,0.58,,,
India,electricity,gas,gas (CC CCS),2070,wholesale gas,0.58,,,
India,electricity,gas,gas (CC CCS),2075,wholesale gas,0.58,,,
India,electricity,gas,gas (CC CCS),2080,wholesale gas,0.58,,,
India,electricity,gas,gas (CC CCS),2085,wholesale gas,0.58,,,
India,electricity,gas,gas (CC CCS),2090,wholesale gas,0.58,,,
India,electricity,gas,gas (CC CCS),2095,wholesale gas,0.58,,,
India,electricity,gas,gas (CC CCS),2100,wholesale gas,0.58,,,
India,electricity,gas,gas (CC),2015,wholesale gas,0.56,,,
India,electricity,gas,gas (CC),2020,wholesale gas,0.56,,,
India,electricity,gas,gas (CC),2025,wholesale gas,0.565,,,
India,electricity,gas,gas (CC),2030,wholesale gas,0.57,,,
India,electricity,gas,gas (CC),2035,wholesale gas,0.575,,,
India,electricity,gas,gas (CC),2040,wholesale gas,0.58,,,
India,electricity,gas,gas (CC),2045,wholesale gas,0.58,,,
India,electricity,gas,gas (CC),2050,wholesale gas,0.58,,,
India,electricity,gas,gas (CC),2055,wholesale gas,0.58,,,
India,electricity,gas,gas (CC),2060,wholesale gas,0.58,,,
India,electricity,gas,gas (CC),2065,wholesale gas,0.58,,,
India,electricity,gas,gas (CC),2070,wholesale gas,0.58,,,
India,electricity,gas,gas (CC),2075,wholesale gas,0.58,,,
India,electricity,gas,gas (CC),2080,wholesale gas,0.58,,,
India,electricity,gas,gas (CC),2085,wholesale gas,0.58,,,
India,electricity,gas,gas (CC),2090,wholesale gas,0.58,,,
India,electricity,gas,gas (CC),2095,wholesale gas,0.58,,,
India,electricity,gas,gas (CC),2100,wholesale gas,0.58,,,
India,electricity,gas,gas (steam/CT),2015,wholesale gas,0.38,,,
India,electricity,gas,gas (steam/CT),2020,wholesale gas,0.38,,,
India,electricity,gas,gas (steam/CT),2025,wholesale gas,0.385,,,
India,electricity,gas,gas (steam/CT),2030,wholesale gas,0.39,,,
India,electricity,gas,gas (steam/CT),2035,wholesale gas,0.4,,,
India,electricity,gas,gas (steam/CT),2040,wholesale gas,0.41,,,
India,electricity,gas,gas (steam/CT),2045,wholesale gas,0.41,,,
India,electricity,gas,gas (steam/CT),2050,wholesale gas,0.41,,,
India,electricity,gas,gas (steam/CT),2055,wholesale gas,0.41,,,
India,electricity,gas,gas (steam/CT),2060,wholesale gas,0.41,,,
India,electricity,gas,gas (steam/CT),2065,wholesale gas,0.41,,,
India,electricity,gas,gas (steam/CT),2070,wholesale gas,0.41,,,
India,electricity,gas,gas (steam/CT),2075,wholesale gas,0.41,,,
India,electricity,gas,gas (steam/CT),2080,wholesale gas,0.41,,,
India,electricity,gas,gas (steam/CT),2085,wholesale gas,0.41,,,
India,electricity,gas,gas (steam/CT),2090,wholesale gas,0.41,,,
India,electricity,gas,gas (steam/CT),2095,wholesale gas,0.41,,,
India,electricity,gas,gas (steam/CT),2100,wholesale gas,0.41,,,
India,electricity,nuclear,Gen_II_LWR,2015,nuclearFuelGenII,0.333,,,
India,electricity,nuclear,Gen_II_LWR,2020,nuclearFuelGenII,0.333,,,
India,electricity,nuclear,Gen_II_LWR,2025,nuclearFuelGenII,0.333,,,
India,electricity,nuclear,Gen_II_LWR,2030,nuclearFuelGenII,0.333,,,
India,electricity,nuclear,Gen_II_LWR,2035,nuclearFuelGenII,0.333,,,
India,electricity,nuclear,Gen_II_LWR,2040,nuclearFuelGenII,0.333,,,
India,electricity,nuclear,Gen_II_LWR,2045,nuclearFuelGenII,0.333,,,
India,electricity,nuclear,Gen_II_LWR,2050,nuclearFuelGenII,0.333,,,
India,electricity,nuclear,Gen_II_LWR,2055,nuclearFuelGenII,0.333,,,
India,electricity,nuclear,Gen_II_LWR,2060,nuclearFuelGenII,0.333,,,
India,electricity,nuclear,Gen_II_LWR,2065,nuclearFuelGenII,0.333,,,
India,electricity,nuclear,Gen_II_LWR,2070,nuclearFuelGenII,0.333,,,
India,electricity,nuclear,Gen_II_LWR,2075,nuclearFuelGenII,0.333,,,
India,electricity,nuclear,Gen_II_LWR,2080,nuclearFuelGenII,0.333,,,
India,electricity,nuclear,Gen_II_LWR,2085,nuclearFuelGenII,0.333,,,
India,electricity,nuclear,Gen_II_LWR,2090,nuclearFuelGenII,0.333,,,
India,electricity,nuclear,Gen_II_LWR,2095,nuclearFuelGenII,0.333,,,
India,electricity,nuclear,Gen_II_LWR,2100,nuclearFuelGenII,0.333,,,
India,electricity,nuclear,Gen_III,2015,nuclearFuelGenIII,0.333,,,
India,electricity,nuclear,Gen_III,2020,nuclearFuelGenIII,0.333,,,
India,electricity,nuclear,Gen_III,2025,nuclearFuelGenIII,0.333,,,
India,electricity,nuclear,Gen_III,2030,nuclearFuelGenIII,0.333,,,
India,electricity,nuclear,Gen_III,2035,nuclearFuelGenIII,0.333,,,
India,electricity,nuclear,Gen_III,2040,nuclearFuelGenIII,0.333,,,
India,electricity,nuclear,Gen_III,2045,nuclearFuelGenIII,0.333,,,
India,electricity,nuclear,Gen_III,2050,nuclearFuelGenIII,0.333,,,
India,electricity,nuclear,Gen_III,2055,nuclearFuelGenIII,0.333,,,
India,electricity,nuclear,Gen_III,2060,nuclearFuelGenIII,0.333,,,
India,electricity,nuclear,Gen_III,2065,nuclearFuelGenIII,0.333,,,
India,electricity,nuclear,Gen_III,2070,nuclearFuelGenIII,0.333,,,
India,electricity,nuclear,Gen_III,2075,nuclearFuelGenIII,0.333,,,
India,electricity,nuclear,Gen_III,2080,nuclearFuelGenIII,0.333,,,
India,electricity,nuclear,Gen_III,2085,nuclearFuelGenIII,0.333,,,
India,electricity,nuclear,Gen_III,2090,nuclearFuelGenIII,0.333,,,
India,electricity,nuclear,Gen_III,2095,nuclearFuelGenIII,0.333,,,
India,electricity,nuclear,Gen_III,2100,nuclearFuelGenIII,0.333,,,
India,electricity,geothermal,geothermal,2015,geothermal,0.1,,,
India,electricity,geothermal,geothermal,2020,geothermal,0.1,,,
India,electricity,geothermal,geothermal,2025,geothermal,0.1,,,
India,electricity,geothermal,geothermal,2030,geothermal,0.1,,,
India,electricity,geothermal,geothermal,2035,geothermal,0.1,,,
India,electricity,geothermal,geothermal,2040,geothermal,0.1,,,
India,electricity,geothermal,geothermal,2045,geothermal,0.1,,,
India,electricity,geothermal,geothermal,2050,geothermal,0.1,,,
India,electricity,geothermal,geothermal,2055,geothermal,0.1,,,
India,electricity,geothermal,geothermal,2060,geothermal,0.1,,,
India,electricity,geothermal,geothermal,2065,geothermal,0.1,,,
India,electricity,geothermal,geothermal,2070,geothermal,0.1,,,
India,electricity,geothermal,geothermal,2075,geothermal,0.1,,,
India,electricity,geothermal,geothermal,2080,geothermal,0.1,,,
India,electricity,geothermal,geothermal,2085,geothermal,0.1,,,
India,electricity,geothermal,geothermal,2090,geothermal,0.1,,,
India,electricity,geothermal,geothermal,2095,geothermal,0.1,,,
India,electricity,geothermal,geothermal,2100,geothermal,0.1,,,
India,electricity,solar,PV_storage,2015,global solar resource,0.96,,,
India,electricity,solar,PV_storage,2020,global solar resource,0.96,,,
India,electricity,solar,PV_storage,2025,global solar resource,0.96,,,
India,electricity,solar,PV_storage,2030,global solar resource,0.96,,,
India,electricity,solar,PV_storage,2035,global solar resource,0.96,,,
India,electricity,solar,PV_storage,2040,global solar resource,0.96,,,
India,electricity,solar,PV_storage,2045,global solar resource,0.96,,,
India,electricity,solar,PV_storage,2050,global solar resource,0.96,,,
India,electricity,solar,PV_storage,2055,global solar resource,0.96,,,
India,electricity,solar,PV_storage,2060,global solar resource,0.96,,,
India,electricity,solar,PV_storage,2065,global solar resource,0.96,,,
India,electricity,solar,PV_storage,2070,global solar resource,0.96,,,
India,electricity,solar,PV_storage,2075,global solar resource,0.96,,,
India,electricity,solar,PV_storage,2080,global solar resource,0.96,,,
India,electricity,solar,PV_storage,2085,global solar resource,0.96,,,
India,electricity,solar,PV_storage,2090,global solar resource,0.96,,,
India,electricity,solar,PV_storage,2095,global solar resource,0.96,,,
India,electricity,solar,PV_storage,2100,global solar resource,0.96,,,
India,electricity,refined liquids,refined liquids (CC CCS),2015,refined liquids industrial,0.42,,,
India,electricity,refined liquids,refined liquids (CC CCS),2020,refined liquids industrial,0.467,,,
India,electricity,refined liquids,refined liquids (CC CCS),2025,refined liquids industrial,0.505,,,
India,electricity,refined liquids,refined liquids (CC CCS),2030,refined liquids industrial,0.536,,,
India,electricity,refined liquids,refined liquids (CC CCS),2035,refined liquids industrial,0.562,,,
