INPUT_TABLE,,,,,,
Variable ID,,,,,,
RegionTechOMfixed,,,,,,
,,,,,,
region,supplysector,subsector,stub.technology,year,input.OM.fixed,OM.fixed
GJ,electricity,nuclear,Gen_II_LWR,2085,OM-fixed,0
GJ,electricity,nuclear,Gen_II_LWR,2090,OM-fixed,0
GJ,electricity,nuclear,Gen_II_LWR,2095,OM-fixed,0
GJ,electricity,nuclear,Gen_II_LWR,2100,OM-fixed,0
HR,electricity,nuclear,Gen_II_LWR,1975,OM-fixed,0
HR,electricity,nuclear,Gen_II_LWR,1990,OM-fixed,0
HR,electricity,nuclear,Gen_II_LWR,2005,OM-fixed,0
HR,electricity,nuclear,Gen_II_LWR,2010,OM-fixed,0
HR,electricity,nuclear,Gen_II_LWR,2015,OM-fixed,0
HR,electricity,nuclear,Gen_II_LWR,2020,OM-fixed,0
HR,electricity,nuclear,Gen_II_LWR,2025,OM-fixed,0
HR,electricity,nuclear,Gen_II_LWR,2030,OM-fixed,0
HR,electricity,nuclear,Gen_II_LWR,2035,OM-fixed,0
HR,electricity,nuclear,Gen_II_LWR,2040,OM-fixed,0
HR,electricity,nuclear,Gen_II_LWR,2045,OM-fixed,0
HR,electricity,nuclear,Gen_II_LWR,2050,OM-fixed,0
HR,electricity,nuclear,Gen_II_LWR,2055,OM-fixed,0
HR,electricity,nuclear,Gen_II_LWR,2060,OM-fixed,0
HR,electricity,nuclear,Gen_II_LWR,2065,OM-fixed,0
HR,electricity,nuclear,Gen_II_LWR,2070,OM-fixed,0
HR,electricity,nuclear,Gen_II_LWR,2075,OM-fixed,0
HR,electricity,nuclear,Gen_II_LWR,2080,OM-fixed,0
HR,electricity,nuclear,Gen_II_LWR,2085,OM-fixed,0
HR,electricity,nuclear,Gen_II_LWR,2090,OM-fixed,0
HR,electricity,nuclear,Gen_II_LWR,2095,OM-fixed,0
HR,electricity,nuclear,Gen_II_LWR,2100,OM-fixed,0
HP,electricity,nuclear,Gen_II_LWR,1975,OM-fixed,0
HP,electricity,nuclear,Gen_II_LWR,1990,OM-fixed,0
HP,electricity,nuclear,Gen_II_LWR,2005,OM-fixed,0
HP,electricity,nuclear,Gen_II_LWR,2010,OM-fixed,0
HP,electricity,nuclear,Gen_II_LWR,2015,OM-fixed,0
HP,electricity,nuclear,Gen_II_LWR,2020,OM-fixed,0
HP,electricity,nuclear,Gen_II_LWR,2025,OM-fixed,0
HP,electricity,nuclear,Gen_II_LWR,2030,OM-fixed,0
HP,electricity,nuclear,Gen_II_LWR,2035,OM-fixed,0
HP,electricity,nuclear,Gen_II_LWR,2040,OM-fixed,0
HP,electricity,nuclear,Gen_II_LWR,2045,OM-fixed,0
HP,electricity,nuclear,Gen_II_LWR,2050,OM-fixed,0
HP,electricity,nuclear,Gen_II_LWR,2055,OM-fixed,0
HP,electricity,nuclear,Gen_II_LWR,2060,OM-fixed,0
HP,electricity,nuclear,Gen_II_LWR,2065,OM-fixed,0
HP,electricity,nuclear,Gen_II_LWR,2070,OM-fixed,0
HP,electricity,nuclear,Gen_II_LWR,2075,OM-fixed,0
HP,electricity,nuclear,Gen_II_LWR,2080,OM-fixed,0
HP,electricity,nuclear,Gen_II_LWR,2085,OM-fixed,0
HP,electricity,nuclear,Gen_II_LWR,2090,OM-fixed,0
HP,electricity,nuclear,Gen_II_LWR,2095,OM-fixed,0
HP,electricity,nuclear,Gen_II_LWR,2100,OM-fixed,0
JK,electricity,nuclear,Gen_II_LWR,1975,OM-fixed,0
JK,electricity,nuclear,Gen_II_LWR,1990,OM-fixed,0
JK,electricity,nuclear,Gen_II_LWR,2005,OM-fixed,0
JK,electricity,nuclear,Gen_II_LWR,2010,OM-fixed,0
JK,electricity,nuclear,Gen_II_LWR,2015,OM-fixed,0
JK,electricity,nuclear,Gen_II_LWR,2020,OM-fixed,0
JK,electricity,nuclear,Gen_II_LWR,2025,OM-fixed,0
JK,electricity,nuclear,Gen_II_LWR,2030,OM-fixed,0
JK,electricity,nuclear,Gen_II_LWR,2035,OM-fixed,0
JK,electricity,nuclear,Gen_II_LWR,2040,OM-fixed,0
JK,electricity,nuclear,Gen_II_LWR,2045,OM-fixed,0
JK,electricity,nuclear,Gen_II_LWR,2050,OM-fixed,0
JK,electricity,nuclear,Gen_II_LWR,2055,OM-fixed,0
JK,electricity,nuclear,Gen_II_LWR,2060,OM-fixed,0
JK,electricity,nuclear,Gen_II_LWR,2065,OM-fixed,0
JK,electricity,nuclear,Gen_II_LWR,2070,OM-fixed,0
JK,electricity,nuclear,Gen_II_LWR,2075,OM-fixed,0
JK,electricity,nuclear,Gen_II_LWR,2080,OM-fixed,0
JK,electricity,nuclear,Gen_II_LWR,2085,OM-fixed,0
JK,electricity,nuclear,Gen_II_LWR,2090,OM-fixed,0
JK,electricity,nuclear,Gen_II_LWR,2095,OM-fixed,0
JK,electricity,nuclear,Gen_II_LWR,2100,OM-fixed,0
JH,electricity,nuclear,Gen_II_LWR,1975,OM-fixed,0
JH,electricity,nuclear,Gen_II_LWR,1990,OM-fixed,0
JH,electricity,nuclear,Gen_II_LWR,2005,OM-fixed,0
JH,electricity,nuclear,Gen_II_LWR,2010,OM-fixed,0
JH,electricity,nuclear,Gen_II_LWR,2015,OM-fixed,0
JH,electricity,nuclear,Gen_II_LWR,2020,OM-fixed,0
JH,electricity,nuclear,Gen_II_LWR,2025,OM-fixed,0
JH,electricity,nuclear,Gen_II_LWR,2030,OM-fixed,0
JH,electricity,nuclear,Gen_II_LWR,2035,OM-fixed,0
JH,electricity,nuclear,Gen_II_LWR,2040,OM-fixed,0
JH,electricity,nuclear,Gen_II_LWR,2045,OM-fixed,0
JH,electricity,nuclear,Gen_II_LWR,2050,OM-fixed,0
JH,electricity,nuclear,Gen_II_LWR,2055,OM-fixed,0
JH,electricity,nuclear,Gen_II_LWR,2060,OM-fixed,0
JH,electricity,nuclear,Gen_II_LWR,2065,OM-fixed,0
JH,electricity,nuclear,Gen_II_LWR,2070,OM-fixed,0
