INPUT_TABLE
Variable ID
RegionTechCapital

region,supplysector,subsector,technology,year,input.capital,capital.overnight,fixed.charge.rate
CH,electricity,coal,coal (IGCC),2100,capital,348,0.164648525
DD,electricity,coal,coal (IGCC),2100,capital,348,0.173188791
DL,electricity,coal,coal (IGCC),2100,capital,348,0.204171868
DN,electricity,coal,coal (IGCC),2100,capital,348,0.203531253
GA,electricity,coal,coal (IGCC),2100,capital,348,0.163416269
GJ,electricity,coal,coal (IGCC),2100,capital,348,0.204171868
HP,electricity,coal,coal (IGCC),2100,capital,348,0.204447252
HR,electricity,coal,coal (IGCC),2100,capital,348,0.203531253
JK,electricity,coal,coal (IGCC),2100,capital,348,0.164385305
JH,electricity,coal,coal (IGCC),2100,capital,348,0.203531253
KA,electricity,coal,coal (IGCC),2100,capital,348,0.25836421
KL,electricity,coal,coal (IGCC),2100,capital,348,0.203531253
LA,electricity,coal,coal (IGCC),2100,capital,348,0.230171748
LD,electricity,coal,coal (IGCC),2100,capital,348,0.230171748
MH,electricity,coal,coal (IGCC),2100,capital,348,0.203531253
ML,electricity,coal,coal (IGCC),2100,capital,348,0.366186669
MN,electricity,coal,coal (IGCC),2100,capital,348,0.380907741
MP,electricity,coal,coal (IGCC),2100,capital,348,0.203531253
MZ,electricity,coal,coal (IGCC),2100,capital,348,0.216780628
NL,electricity,coal,coal (IGCC),2100,capital,348,0.216800435
OD,electricity,coal,coal (IGCC),2100,capital,348,0.138902901
PB,electricity,coal,coal (IGCC),2100,capital,348,0.203531253
PC,electricity,coal,coal (IGCC),2100,capital,348,0.24229875
RJ,electricity,coal,coal (IGCC),2100,capital,348,0.204171868
SK,electricity,coal,coal (IGCC),2100,capital,348,0.23800637
TN,electricity,coal,coal (IGCC),2100,capital,348,0.203531253
TS,electricity,coal,coal (IGCC),2100,capital,348,0.424457579
TR,electricity,coal,coal (IGCC),2100,capital,348,0.203531253
UK,electricity,coal,coal (IGCC),2100,capital,348,0.203531253
UP,electricity,coal,coal (IGCC),2100,capital,348,0.203531253
WB,electricity,coal,coal (IGCC),2100,capital,348,0.268324037
AN,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
AP,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
AS,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
AR,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
BR,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
CG,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
CH,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
DD,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
DL,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
DN,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
GA,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
GJ,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
HP,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
HR,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
JK,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
JH,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
KA,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
KL,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
LA,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
LD,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
MH,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
ML,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
MN,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
MP,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
MZ,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
NL,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
OD,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
PB,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
PC,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
RJ,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
SK,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
TN,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
TS,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
TR,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
UK,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
UP,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
WB,electricity,coal,coal (IGCC CCS),2015,capital,1337,0.13
AN,electricity,coal,coal (IGCC CCS),2020,capital,1335,0.13
AP,electricity,coal,coal (IGCC CCS),2020,capital,1335,0.13
AS,electricity,coal,coal (IGCC CCS),2020,capital,1335,0.13
AR,electricity,coal,coal (IGCC CCS),2020,capital,1335,0.13
BR,electricity,coal,coal (IGCC CCS),2020,capital,1335,0.13
CG,electricity,coal,coal (IGCC CCS),2020,capital,1335,0.13
CH,electricity,coal,coal (IGCC CCS),2020,capital,1335,0.13
DD,electricity,coal,coal (IGCC CCS),2020,capital,1335,0.13
DL,electricity,coal,coal (IGCC CCS),2020,capital,1335,0.13
DN,electricity,coal,coal (IGCC CCS),2020,capital,1335,0.13
GA,electricity,coal,coal (IGCC CCS),2020,capital,1335,0.13
GJ,electricity,coal,coal (IGCC CCS),2020,capital,1335,0.13
HP,electricity,coal,coal (IGCC CCS),2020,capital,1335,0.13
HR,electricity,coal,coal (IGCC CCS),2020,capital,1335,0.13
JK,electricity,coal,coal (IGCC CCS),2020,capital,1335,0.13
JH,electricity,coal,coal (IGCC CCS),2020,capital,1335,0.13
KA,electricity,coal,coal (IGCC CCS),2020,capital,1335,0.13
KL,electricity,coal,coal (IGCC CCS),2020,capital,1335,0.13
LA,electricity,coal,coal (IGCC CCS),2020,capital,1335,0.13
LD,electricity,coal,coal (IGCC CCS),2020,capital,1335,0.13
