INPUT_TABLE,,,,,,
Variable ID,,,,,,
RegionTechEff,,,,,,
,,,,,,
Region,sector.name,subsector.name,technology,year,minicam.energy.input,efficiency
UP,electricity,biomass,biomass (conv CCS),2040,regional biomass,0.316
WB,electricity,biomass,biomass (conv CCS),2040,regional biomass,0.316
AN,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
AP,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
AR,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
AS,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
BR,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
CG,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
CH,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
DD,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
DL,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
DN,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
GA,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
GJ,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
HP,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
HR,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
JH,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
JK,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
KA,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
KL,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
LA,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
LD,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
MH,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
ML,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
MN,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
MP,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
MZ,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
NL,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
OD,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
PB,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
PC,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
RJ,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
SK,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
TN,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
TR,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
TS,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
UK,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
UP,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
WB,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33
AN,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
AP,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
AR,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
AS,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
BR,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
CG,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
CH,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
DD,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
DL,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
DN,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
GA,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
GJ,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
HP,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
HR,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
