INPUT_TABLE,,,,,
Variable ID,,,,,
RegionIntTechCF,,,,,
,,,,,
region,supplysector,subsector,intermittent.technology,year,capacity.factor
AN,electricity,solar,PV,2095,0.25
AP,electricity,solar,PV,2095,0.25
AR,electricity,solar,PV,2095,0.25
AS,electricity,solar,PV,2095,0.25
BR,electricity,solar,PV,2095,0.25
CG,electricity,solar,PV,2095,0.25
CH,electricity,solar,PV,2095,0.25
DD,electricity,solar,PV,2095,0.25
DL,electricity,solar,PV,2095,0.25
DN,electricity,solar,PV,2095,0.25
GA,electricity,solar,PV,2095,0.25
GJ,electricity,solar,PV,2095,0.25
HP,electricity,solar,PV,2095,0.25
HR,electricity,solar,PV,2095,0.25
JH,electricity,solar,PV,2095,0.25
JK,electricity,solar,PV,2095,0.25
KA,electricity,solar,PV,2095,0.25
KL,electricity,solar,PV,2095,0.25
LA,electricity,solar,PV,2095,0.25
LD,electricity,solar,PV,2095,0.25
MH,electricity,solar,PV,2095,0.25
ML,electricity,solar,PV,2095,0.25
MN,electricity,solar,PV,2095,0.25
MP,electricity,solar,PV,2095,0.25
MZ,electricity,solar,PV,2095,0.25
NL,electricity,solar,PV,2095,0.25
OD,electricity,solar,PV,2095,0.25
PB,electricity,solar,PV,2095,0.25
PC,electricity,solar,PV,2095,0.25
RJ,electricity,solar,PV,2095,0.25
SK,electricity,solar,PV,2095,0.25
TN,electricity,solar,PV,2095,0.25
TR,electricity,solar,PV,2095,0.25
TS,electricity,solar,PV,2095,0.25
UK,electricity,solar,PV,2095,0.25
UP,electricity,solar,PV,2095,0.25
WB,electricity,solar,PV,2095,0.25
AN,electricity,solar,PV,2100,0.25
AP,electricity,solar,PV,2100,0.25
AR,electricity,solar,PV,2100,0.25
AS,electricity,solar,PV,2100,0.25
BR,electricity,solar,PV,2100,0.25
CG,electricity,solar,PV,2100,0.25
CH,electricity,solar,PV,2100,0.25
DD,electricity,solar,PV,2100,0.25
DL,electricity,solar,PV,2100,0.25
DN,electricity,solar,PV,2100,0.25
GA,electricity,solar,PV,2100,0.25
GJ,electricity,solar,PV,2100,0.25
HP,electricity,solar,PV,2100,0.25
HR,electricity,solar,PV,2100,0.25
JH,electricity,solar,PV,2100,0.25
JK,electricity,solar,PV,2100,0.25
KA,electricity,solar,PV,2100,0.25
KL,electricity,solar,PV,2100,0.25
LA,electricity,solar,PV,2100,0.25
LD,electricity,solar,PV,2100,0.25
MH,electricity,solar,PV,2100,0.25
ML,electricity,solar,PV,2100,0.25
MN,electricity,solar,PV,2100,0.25
MP,electricity,solar,PV,2100,0.25
MZ,electricity,solar,PV,2100,0.25
NL,electricity,solar,PV,2100,0.25
OD,electricity,solar,PV,2100,0.25
PB,electricity,solar,PV,2100,0.25
PC,electricity,solar,PV,2100,0.25
RJ,electricity,solar,PV,2100,0.25
SK,electricity,solar,PV,2100,0.25
TN,electricity,solar,PV,2100,0.25
TR,electricity,solar,PV,2100,0.25
TS,electricity,solar,PV,2100,0.25
UK,electricity,solar,PV,2100,0.25
UP,electricity,solar,PV,2100,0.25
WB,electricity,solar,PV,2100,0.25
AN,electricity,wind,wind,2010,0.18
AP,electricity,wind,wind,2010,0.18
AR,electricity,wind,wind,2010,0.18
AS,electricity,wind,wind,2010,0.18
BR,electricity,wind,wind,2010,0.18
CG,electricity,wind,wind,2010,0.18
CH,electricity,wind,wind,2010,0.18
DD,electricity,wind,wind,2010,0.18
DL,electricity,wind,wind,2010,0.18
DN,electricity,wind,wind,2010,0.18
GA,electricity,wind,wind,2010,0.18
GJ,electricity,wind,wind,2010,0.18
HP,electricity,wind,wind,2010,0.18
HR,electricity,wind,wind,2010,0.18
JH,electricity,wind,wind,2010,0.18
JK,electricity,wind,wind,2010,0.18
KA,electricity,wind,wind,2010,0.18
KL,electricity,wind,wind,2010,0.18
LA,electricity,wind,wind,2010,0.18
LD,electricity,wind,wind,2010,0.18
MH,electricity,wind,wind,2010,0.18
ML,electricity,wind,wind,2010,0.18
MN,electricity,wind,wind,2010,0.18
MP,electricity,wind,wind,2010,0.18
MZ,electricity,wind,wind,2010,0.18
NL,electricity,wind,wind,2010,0.18
OD,electricity,wind,wind,2010,0.18
PB,electricity,wind,wind,2010,0.18
PC,electricity,wind,wind,2010,0.18
RJ,electricity,wind,wind,2010,0.18
SK,electricity,wind,wind,2010,0.18
TN,electricity,wind,wind,2010,0.18
TR,electricity,wind,wind,2010,0.18
TS,electricity,wind,wind,2010,0.18
UK,electricity,wind,wind,2010,0.18
UP,electricity,wind,wind,2010,0.18
WB,electricity,wind,wind,2010,0.18
AN,electricity,wind,wind,2015,0.18
AP,electricity,wind,wind,2015,0.18
AR,electricity,wind,wind,2015,0.18
AS,electricity,wind,wind,2015,0.18
BR,electricity,wind,wind,2015,0.18
CG,electricity,wind,wind,2015,0.18
CH,electricity,wind,wind,2015,0.18
DD,electricity,wind,wind,2015,0.18
DL,electricity,wind,wind,2015,0.18
DN,electricity,wind,wind,2015,0.18
GA,electricity,wind,wind,2015,0.18
GJ,electricity,wind,wind,2015,0.18
HP,electricity,wind,wind,2015,0.18
HR,electricity,wind,wind,2015,0.18
JH,electricity,wind,wind,2015,0.18
JK,electricity,wind,wind,2015,0.18
KA,electricity,wind,wind,2015,0.18
KL,electricity,wind,wind,2015,0.18
LA,electricity,wind,wind,2015,0.18
LD,electricity,wind,wind,2015,0.18
MH,electricity,wind,wind,2015,0.18
ML,electricity,wind,wind,2015,0.18
MN,electricity,wind,wind,2015,0.18
MP,electricity,wind,wind,2015,0.18
MZ,electricity,wind,wind,2015,0.18
NL,electricity,wind,wind,2015,0.18
OD,electricity,wind,wind,2015,0.18
PB,electricity,wind,wind,2015,0.18
PC,electricity,wind,wind,2015,0.18
RJ,electricity,wind,wind,2015,0.18
SK,electricity,wind,wind,2015,0.18
TN,electricity,wind,wind,2015,0.18
TR,electricity,wind,wind,2015,0.18
TS,electricity,wind,wind,2015,0.18
UK,electricity,wind,wind,2015,0.18
UP,electricity,wind,wind,2015,0.18
WB,electricity,wind,wind,2015,0.18
AN,electricity,wind,wind,2020,0.18
AP,electricity,wind,wind,2020,0.18
AR,electricity,wind,wind,2020,0.18
AS,electricity,wind,wind,2020,0.18
BR,electricity,wind,wind,2020,0.18
CG,electricity,wind,wind,2020,0.18
CH,electricity,wind,wind,2020,0.18
DD,electricity,wind,wind,2020,0.18
DL,electricity,wind,wind,2020,0.18
DN,electricity,wind,wind,2020,0.18
GA,electricity,wind,wind,2020,0.18
GJ,electricity,wind,wind,2020,0.18
HP,electricity,wind,wind,2020,0.18
HR,electricity,wind,wind,2020,0.18
JH,electricity,wind,wind,2020,0.18
JK,electricity,wind,wind,2020,0.18
KA,electricity,wind,wind,2020,0.18
KL,electricity,wind,wind,2020,0.18
LA,electricity,wind,wind,2020,0.18
LD,electricity,wind,wind,2020,0.18
MH,electricity,wind,wind,2020,0.18
ML,electricity,wind,wind,2020,0.18
MN,electricity,wind,wind,2020,0.18
MP,electricity,wind,wind,2020,0.18
MZ,electricity,wind,wind,2020,0.18
NL,electricity,wind,wind,2020,0.18
OD,electricity,wind,wind,2020,0.18
PB,electricity,wind,wind,2020,0.18
PC,electricity,wind,wind,2020,0.18
RJ,electricity,wind,wind,2020,0.18
SK,electricity,wind,wind,2020,0.18
TN,electricity,wind,wind,2020,0.18
TR,electricity,wind,wind,2020,0.18
TS,electricity,wind,wind,2020,0.18
UK,electricity,wind,wind,2020,0.18
UP,electricity,wind,wind,2020,0.18
WB,electricity,wind,wind,2020,0.18
AN,electricity,wind,wind,2025,0.18
AP,electricity,wind,wind,2025,0.18
AR,electricity,wind,wind,2025,0.18
AS,electricity,wind,wind,2025,0.18
BR,electricity,wind,wind,2025,0.18
CG,electricity,wind,wind,2025,0.18
CH,electricity,wind,wind,2025,0.18
DD,electricity,wind,wind,2025,0.18
DL,electricity,wind,wind,2025,0.18
DN,electricity,wind,wind,2025,0.18
GA,electricity,wind,wind,2025,0.18
GJ,electricity,wind,wind,2025,0.18
HP,electricity,wind,wind,2025,0.18
HR,electricity,wind,wind,2025,0.18
JH,electricity,wind,wind,2025,0.18
JK,electricity,wind,wind,2025,0.18
KA,electricity,wind,wind,2025,0.18
KL,electricity,wind,wind,2025,0.18
LA,electricity,wind,wind,2025,0.18
LD,electricity,wind,wind,2025,0.18
MH,electricity,wind,wind,2025,0.18
ML,electricity,wind,wind,2025,0.18
MN,electricity,wind,wind,2025,0.18
MP,electricity,wind,wind,2025,0.18
MZ,electricity,wind,wind,2025,0.18
NL,electricity,wind,wind,2025,0.18
OD,electricity,wind,wind,2025,0.18
PB,electricity,wind,wind,2025,0.18
PC,electricity,wind,wind,2025,0.18
RJ,electricity,wind,wind,2025,0.18
SK,electricity,wind,wind,2025,0.18
TN,electricity,wind,wind,2025,0.18
TR,electricity,wind,wind,2025,0.18
TS,electricity,wind,wind,2025,0.18
UK,electricity,wind,wind,2025,0.18
UP,electricity,wind,wind,2025,0.18
WB,electricity,wind,wind,2025,0.18
AN,electricity,wind,wind,2030,0.18
AP,electricity,wind,wind,2030,0.18
AR,electricity,wind,wind,2030,0.18
AS,electricity,wind,wind,2030,0.18
BR,electricity,wind,wind,2030,0.18
CG,electricity,wind,wind,2030,0.18
CH,electricity,wind,wind,2030,0.18
DD,electricity,wind,wind,2030,0.18
DL,electricity,wind,wind,2030,0.18
DN,electricity,wind,wind,2030,0.18
GA,electricity,wind,wind,2030,0.18
GJ,electricity,wind,wind,2030,0.18
HP,electricity,wind,wind,2030,0.18
HR,electricity,wind,wind,2030,0.18
JH,electricity,wind,wind,2030,0.18
JK,electricity,wind,wind,2030,0.18
KA,electricity,wind,wind,2030,0.18
KL,electricity,wind,wind,2030,0.18
LA,electricity,wind,wind,2030,0.18
LD,electricity,wind,wind,2030,0.18
MH,electricity,wind,wind,2030,0.18
ML,electricity,wind,wind,2030,0.18
MN,electricity,wind,wind,2030,0.18
MP,electricity,wind,wind,2030,0.18
MZ,electricity,wind,wind,2030,0.18
NL,electricity,wind,wind,2030,0.18
OD,electricity,wind,wind,2030,0.18
PB,electricity,wind,wind,2030,0.18
PC,electricity,wind,wind,2030,0.18
RJ,electricity,wind,wind,2030,0.18
SK,electricity,wind,wind,2030,0.18
TN,electricity,wind,wind,2030,0.18
TR,electricity,wind,wind,2030,0.18
TS,electricity,wind,wind,2030,0.18
UK,electricity,wind,wind,2030,0.18
UP,electricity,wind,wind,2030,0.18
WB,electricity,wind,wind,2030,0.18
AN,electricity,wind,wind,2035,0.18
AP,electricity,wind,wind,2035,0.18
AR,electricity,wind,wind,2035,0.18
AS,electricity,wind,wind,2035,0.18
BR,electricity,wind,wind,2035,0.18
CG,electricity,wind,wind,2035,0.18
CH,electricity,wind,wind,2035,0.18
DD,electricity,wind,wind,2035,0.18
DL,electricity,wind,wind,2035,0.18
DN,electricity,wind,wind,2035,0.18
GA,electricity,wind,wind,2035,0.18
GJ,electricity,wind,wind,2035,0.18
HP,electricity,wind,wind,2035,0.18
HR,electricity,wind,wind,2035,0.18
JH,electricity,wind,wind,2035,0.18
JK,electricity,wind,wind,2035,0.18
KA,electricity,wind,wind,2035,0.18
KL,electricity,wind,wind,2035,0.18
LA,electricity,wind,wind,2035,0.18
LD,electricity,wind,wind,2035,0.18
MH,electricity,wind,wind,2035,0.18
ML,electricity,wind,wind,2035,0.18
MN,electricity,wind,wind,2035,0.18
MP,electricity,wind,wind,2035,0.18
MZ,electricity,wind,wind,2035,0.18
NL,electricity,wind,wind,2035,0.18
OD,electricity,wind,wind,2035,0.18
PB,electricity,wind,wind,2035,0.18
PC,electricity,wind,wind,2035,0.18
RJ,electricity,wind,wind,2035,0.18
SK,electricity,wind,wind,2035,0.18
TN,electricity,wind,wind,2035,0.18
TR,electricity,wind,wind,2035,0.18
TS,electricity,wind,wind,2035,0.18
UK,electricity,wind,wind,2035,0.18
UP,electricity,wind,wind,2035,0.18
WB,electricity,wind,wind,2035,0.18
AN,electricity,wind,wind,2040,0.18
AP,electricity,wind,wind,2040,0.18
AR,electricity,wind,wind,2040,0.18
AS,electricity,wind,wind,2040,0.18
BR,electricity,wind,wind,2040,0.18
CG,electricity,wind,wind,2040,0.18
CH,electricity,wind,wind,2040,0.18
DD,electricity,wind,wind,2040,0.18
DL,electricity,wind,wind,2040,0.18
DN,electricity,wind,wind,2040,0.18
GA,electricity,wind,wind,2040,0.18
GJ,electricity,wind,wind,2040,0.18
HP,electricity,wind,wind,2040,0.18
HR,electricity,wind,wind,2040,0.18
JH,electricity,wind,wind,2040,0.18
JK,electricity,wind,wind,2040,0.18
KA,electricity,wind,wind,2040,0.18
KL,electricity,wind,wind,2040,0.18
LA,electricity,wind,wind,2040,0.18
LD,electricity,wind,wind,2040,0.18
MH,electricity,wind,wind,2040,0.18
ML,electricity,wind,wind,2040,0.18
MN,electricity,wind,wind,2040,0.18
MP,electricity,wind,wind,2040,0.18
MZ,electricity,wind,wind,2040,0.18
NL,electricity,wind,wind,2040,0.18
OD,electricity,wind,wind,2040,0.18
PB,electricity,wind,wind,2040,0.18
PC,electricity,wind,wind,2040,0.18
RJ,electricity,wind,wind,2040,0.18
SK,electricity,wind,wind,2040,0.18
TN,electricity,wind,wind,2040,0.18
TR,electricity,wind,wind,2040,0.18
TS,electricity,wind,wind,2040,0.18
UK,electricity,wind,wind,2040,0.18
UP,electricity,wind,wind,2040,0.18
WB,electricity,wind,wind,2040,0.18
AN,electricity,wind,wind,2045,0.18
AP,electricity,wind,wind,2045,0.18
AR,electricity,wind,wind,2045,0.18
AS,electricity,wind,wind,2045,0.18
BR,electricity,wind,wind,2045,0.18
CG,electricity,wind,wind,2045,0.18
CH,electricity,wind,wind,2045,0.18
DD,electricity,wind,wind,2045,0.18
DL,electricity,wind,wind,2045,0.18
DN,electricity,wind,wind,2045,0.18
GA,electricity,wind,wind,2045,0.18
GJ,electricity,wind,wind,2045,0.18
HP,electricity,wind,wind,2045,0.18
HR,electricity,wind,wind,2045,0.18
JH,electricity,wind,wind,2045,0.18
JK,electricity,wind,wind,2045,0.18
KA,electricity,wind,wind,2045,0.18
KL,electricity,wind,wind,2045,0.18
LA,electricity,wind,wind,2045,0.18
LD,electricity,wind,wind,2045,0.18
MH,electricity,wind,wind,2045,0.18
ML,electricity,wind,wind,2045,0.18
MN,electricity,wind,wind,2045,0.18
MP,electricity,wind,wind,2045,0.18
MZ,electricity,wind,wind,2045,0.18
NL,electricity,wind,wind,2045,0.18
OD,electricity,wind,wind,2045,0.18
PB,electricity,wind,wind,2045,0.18
PC,electricity,wind,wind,2045,0.18
RJ,electricity,wind,wind,2045,0.18
SK,electricity,wind,wind,2045,0.18
TN,electricity,wind,wind,2045,0.18
TR,electricity,wind,wind,2045,0.18
TS,electricity,wind,wind,2045,0.18
UK,electricity,wind,wind,2045,0.18
UP,electricity,wind,wind,2045,0.18
WB,electricity,wind,wind,2045,0.18
AN,electricity,wind,wind,2050,0.18
AP,electricity,wind,wind,2050,0.18
AR,electricity,wind,wind,2050,0.18
AS,electricity,wind,wind,2050,0.18
BR,electricity,wind,wind,2050,0.18
CG,electricity,wind,wind,2050,0.18
CH,electricity,wind,wind,2050,0.18
DD,electricity,wind,wind,2050,0.18
DL,electricity,wind,wind,2050,0.18
DN,electricity,wind,wind,2050,0.18
GA,electricity,wind,wind,2050,0.18
GJ,electricity,wind,wind,2050,0.18
HP,electricity,wind,wind,2050,0.18
HR,electricity,wind,wind,2050,0.18
JH,electricity,wind,wind,2050,0.18
JK,electricity,wind,wind,2050,0.18
KA,electricity,wind,wind,2050,0.18
KL,electricity,wind,wind,2050,0.18
LA,electricity,wind,wind,2050,0.18
LD,electricity,wind,wind,2050,0.18
MH,electricity,wind,wind,2050,0.18
ML,electricity,wind,wind,2050,0.18
MN,electricity,wind,wind,2050,0.18
MP,electricity,wind,wind,2050,0.18
MZ,electricity,wind,wind,2050,0.18
NL,electricity,wind,wind,2050,0.18
OD,electricity,wind,wind,2050,0.18
PB,electricity,wind,wind,2050,0.18
PC,electricity,wind,wind,2050,0.18
RJ,electricity,wind,wind,2050,0.18
SK,electricity,wind,wind,2050,0.18
TN,electricity,wind,wind,2050,0.18
TR,electricity,wind,wind,2050,0.18
TS,electricity,wind,wind,2050,0.18
UK,electricity,wind,wind,2050,0.18
UP,electricity,wind,wind,2050,0.18
WB,electricity,wind,wind,2050,0.18
AN,electricity,wind,wind,2055,0.18
AP,electricity,wind,wind,2055,0.18
AR,electricity,wind,wind,2055,0.18
AS,electricity,wind,wind,2055,0.18
BR,electricity,wind,wind,2055,0.18
CG,electricity,wind,wind,2055,0.18
CH,electricity,wind,wind,2055,0.18
DD,electricity,wind,wind,2055,0.18
DL,electricity,wind,wind,2055,0.18
DN,electricity,wind,wind,2055,0.18
GA,electricity,wind,wind,2055,0.18
GJ,electricity,wind,wind,2055,0.18
HP,electricity,wind,wind,2055,0.18
HR,electricity,wind,wind,2055,0.18
JH,electricity,wind,wind,2055,0.18
JK,electricity,wind,wind,2055,0.18
KA,electricity,wind,wind,2055,0.18
KL,electricity,wind,wind,2055,0.18
LA,electricity,wind,wind,2055,0.18
LD,electricity,wind,wind,2055,0.18
MH,electricity,wind,wind,2055,0.18
ML,electricity,wind,wind,2055,0.18
MN,electricity,wind,wind,2055,0.18
MP,electricity,wind,wind,2055,0.18
MZ,electricity,wind,wind,2055,0.18
NL,electricity,wind,wind,2055,0.18
OD,electricity,wind,wind,2055,0.18
PB,electricity,wind,wind,2055,0.18
PC,electricity,wind,wind,2055,0.18
RJ,electricity,wind,wind,2055,0.18
SK,electricity,wind,wind,2055,0.18
TN,electricity,wind,wind,2055,0.18
TR,electricity,wind,wind,2055,0.18
TS,electricity,wind,wind,2055,0.18
UK,electricity,wind,wind,2055,0.18
UP,electricity,wind,wind,2055,0.18
WB,electricity,wind,wind,2055,0.18
AN,electricity,wind,wind,2060,0.18
AP,electricity,wind,wind,2060,0.18
AR,electricity,wind,wind,2060,0.18
AS,electricity,wind,wind,2060,0.18
BR,electricity,wind,wind,2060,0.18
CG,electricity,wind,wind,2060,0.18
CH,electricity,wind,wind,2060,0.18
DD,electricity,wind,wind,2060,0.18
DL,electricity,wind,wind,2060,0.18
DN,electricity,wind,wind,2060,0.18
GA,electricity,wind,wind,2060,0.18
GJ,electricity,wind,wind,2060,0.18
HP,electricity,wind,wind,2060,0.18
HR,electricity,wind,wind,2060,0.18
JH,electricity,wind,wind,2060,0.18
JK,electricity,wind,wind,2060,0.18
KA,electricity,wind,wind,2060,0.18
KL,electricity,wind,wind,2060,0.18
LA,electricity,wind,wind,2060,0.18
LD,electricity,wind,wind,2060,0.18
MH,electricity,wind,wind,2060,0.18
ML,electricity,wind,wind,2060,0.18
MN,electricity,wind,wind,2060,0.18
MP,electricity,wind,wind,2060,0.18
MZ,electricity,wind,wind,2060,0.18
NL,electricity,wind,wind,2060,0.18
OD,electricity,wind,wind,2060,0.18
PB,electricity,wind,wind,2060,0.18
PC,electricity,wind,wind,2060,0.18
RJ,electricity,wind,wind,2060,0.18
SK,electricity,wind,wind,2060,0.18
TN,electricity,wind,wind,2060,0.18
TR,electricity,wind,wind,2060,0.18
TS,electricity,wind,wind,2060,0.18
UK,electricity,wind,wind,2060,0.18
UP,electricity,wind,wind,2060,0.18
WB,electricity,wind,wind,2060,0.18
AN,electricity,wind,wind,2065,0.18
AP,electricity,wind,wind,2065,0.18
AR,electricity,wind,wind,2065,0.18
AS,electricity,wind,wind,2065,0.18
BR,electricity,wind,wind,2065,0.18
CG,electricity,wind,wind,2065,0.18
CH,electricity,wind,wind,2065,0.18
DD,electricity,wind,wind,2065,0.18
DL,electricity,wind,wind,2065,0.18
DN,electricity,wind,wind,2065,0.18
GA,electricity,wind,wind,2065,0.18
GJ,electricity,wind,wind,2065,0.18
HP,electricity,wind,wind,2065,0.18
HR,electricity,wind,wind,2065,0.18
JH,electricity,wind,wind,2065,0.18
JK,electricity,wind,wind,2065,0.18
KA,electricity,wind,wind,2065,0.18
KL,electricity,wind,wind,2065,0.18
LA,electricity,wind,wind,2065,0.18
LD,electricity,wind,wind,2065,0.18
MH,electricity,wind,wind,2065,0.18
ML,electricity,wind,wind,2065,0.18
MN,electricity,wind,wind,2065,0.18
MP,electricity,wind,wind,2065,0.18
MZ,electricity,wind,wind,2065,0.18
NL,electricity,wind,wind,2065,0.18
OD,electricity,wind,wind,2065,0.18
PB,electricity,wind,wind,2065,0.18
PC,electricity,wind,wind,2065,0.18
RJ,electricity,wind,wind,2065,0.18
SK,electricity,wind,wind,2065,0.18
TN,electricity,wind,wind,2065,0.18
TR,electricity,wind,wind,2065,0.18
TS,electricity,wind,wind,2065,0.18
UK,electricity,wind,wind,2065,0.18
UP,electricity,wind,wind,2065,0.18
WB,electricity,wind,wind,2065,0.18
AN,electricity,wind,wind,2070,0.18
AP,electricity,wind,wind,2070,0.18
AR,electricity,wind,wind,2070,0.18
AS,electricity,wind,wind,2070,0.18
BR,electricity,wind,wind,2070,0.18
CG,electricity,wind,wind,2070,0.18
CH,electricity,wind,wind,2070,0.18
DD,electricity,wind,wind,2070,0.18
DL,electricity,wind,wind,2070,0.18
DN,electricity,wind,wind,2070,0.18
GA,electricity,wind,wind,2070,0.18
GJ,electricity,wind,wind,2070,0.18
HP,electricity,wind,wind,2070,0.18
HR,electricity,wind,wind,2070,0.18
JH,electricity,wind,wind,2070,0.18
JK,electricity,wind,wind,2070,0.18
KA,electricity,wind,wind,2070,0.18
KL,electricity,wind,wind,2070,0.18
LA,electricity,wind,wind,2070,0.18
LD,electricity,wind,wind,2070,0.18
MH,electricity,wind,wind,2070,0.18
ML,electricity,wind,wind,2070,0.18
MN,electricity,wind,wind,2070,0.18
MP,electricity,wind,wind,2070,0.18
MZ,electricity,wind,wind,2070,0.18
NL,electricity,wind,wind,2070,0.18
OD,electricity,wind,wind,2070,0.18
PB,electricity,wind,wind,2070,0.18
PC,electricity,wind,wind,2070,0.18
RJ,electricity,wind,wind,2070,0.18
SK,electricity,wind,wind,2070,0.18
TN,electricity,wind,wind,2070,0.18
TR,electricity,wind,wind,2070,0.18
TS,electricity,wind,wind,2070,0.18
UK,electricity,wind,wind,2070,0.18
UP,electricity,wind,wind,2070,0.18
WB,electricity,wind,wind,2070,0.18
AN,electricity,wind,wind,2075,0.18
AP,electricity,wind,wind,2075,0.18
AR,electricity,wind,wind,2075,0.18
AS,electricity,wind,wind,2075,0.18
BR,electricity,wind,wind,2075,0.18
CG,electricity,wind,wind,2075,0.18
CH,electricity,wind,wind,2075,0.18
DD,electricity,wind,wind,2075,0.18
DL,electricity,wind,wind,2075,0.18
DN,electricity,wind,wind,2075,0.18
GA,electricity,wind,wind,2075,0.18
GJ,electricity,wind,wind,2075,0.18
HP,electricity,wind,wind,2075,0.18
HR,electricity,wind,wind,2075,0.18
JH,electricity,wind,wind,2075,0.18
JK,electricity,wind,wind,2075,0.18
KA,electricity,wind,wind,2075,0.18
KL,electricity,wind,wind,2075,0.18
LA,electricity,wind,wind,2075,0.18
LD,electricity,wind,wind,2075,0.18
MH,electricity,wind,wind,2075,0.18
ML,electricity,wind,wind,2075,0.18
MN,electricity,wind,wind,2075,0.18
MP,electricity,wind,wind,2075,0.18
MZ,electricity,wind,wind,2075,0.18
NL,electricity,wind,wind,2075,0.18
OD,electricity,wind,wind,2075,0.18
PB,electricity,wind,wind,2075,0.18
PC,electricity,wind,wind,2075,0.18
RJ,electricity,wind,wind,2075,0.18
SK,electricity,wind,wind,2075,0.18
TN,electricity,wind,wind,2075,0.18
TR,electricity,wind,wind,2075,0.18
TS,electricity,wind,wind,2075,0.18
UK,electricity,wind,wind,2075,0.18
UP,electricity,wind,wind,2075,0.18
WB,electricity,wind,wind,2075,0.18
AN,electricity,wind,wind,2080,0.18
AP,electricity,wind,wind,2080,0.18
AR,electricity,wind,wind,2080,0.18
AS,electricity,wind,wind,2080,0.18
BR,electricity,wind,wind,2080,0.18
CG,electricity,wind,wind,2080,0.18
CH,electricity,wind,wind,2080,0.18
DD,electricity,wind,wind,2080,0.18
DL,electricity,wind,wind,2080,0.18
DN,electricity,wind,wind,2080,0.18
GA,electricity,wind,wind,2080,0.18
GJ,electricity,wind,wind,2080,0.18
HP,electricity,wind,wind,2080,0.18
HR,electricity,wind,wind,2080,0.18
JH,electricity,wind,wind,2080,0.18
JK,electricity,wind,wind,2080,0.18
KA,electricity,wind,wind,2080,0.18
KL,electricity,wind,wind,2080,0.18
LA,electricity,wind,wind,2080,0.18
LD,electricity,wind,wind,2080,0.18
MH,electricity,wind,wind,2080,0.18
ML,electricity,wind,wind,2080,0.18
MN,electricity,wind,wind,2080,0.18
MP,electricity,wind,wind,2080,0.18
MZ,electricity,wind,wind,2080,0.18
NL,electricity,wind,wind,2080,0.18
OD,electricity,wind,wind,2080,0.18
PB,electricity,wind,wind,2080,0.18
PC,electricity,wind,wind,2080,0.18
RJ,electricity,wind,wind,2080,0.18
SK,electricity,wind,wind,2080,0.18
TN,electricity,wind,wind,2080,0.18
TR,electricity,wind,wind,2080,0.18
TS,electricity,wind,wind,2080,0.18
UK,electricity,wind,wind,2080,0.18
UP,electricity,wind,wind,2080,0.18
WB,electricity,wind,wind,2080,0.18
AN,electricity,wind,wind,2085,0.18
AP,electricity,wind,wind,2085,0.18
AR,electricity,wind,wind,2085,0.18
AS,electricity,wind,wind,2085,0.18
BR,electricity,wind,wind,2085,0.18
CG,electricity,wind,wind,2085,0.18
CH,electricity,wind,wind,2085,0.18
DD,electricity,wind,wind,2085,0.18
DL,electricity,wind,wind,2085,0.18
DN,electricity,wind,wind,2085,0.18
GA,electricity,wind,wind,2085,0.18
GJ,electricity,wind,wind,2085,0.18
HP,electricity,wind,wind,2085,0.18
HR,electricity,wind,wind,2085,0.18
JH,electricity,wind,wind,2085,0.18
JK,electricity,wind,wind,2085,0.18
KA,electricity,wind,wind,2085,0.18
KL,electricity,wind,wind,2085,0.18
LA,electricity,wind,wind,2085,0.18
LD,electricity,wind,wind,2085,0.18
MH,electricity,wind,wind,2085,0.18
ML,electricity,wind,wind,2085,0.18
MN,electricity,wind,wind,2085,0.18
MP,electricity,wind,wind,2085,0.18
MZ,electricity,wind,wind,2085,0.18
NL,electricity,wind,wind,2085,0.18
OD,electricity,wind,wind,2085,0.18
PB,electricity,wind,wind,2085,0.18
PC,electricity,wind,wind,2085,0.18
RJ,electricity,wind,wind,2085,0.18
SK,electricity,wind,wind,2085,0.18
TN,electricity,wind,wind,2085,0.18
TR,electricity,wind,wind,2085,0.18
TS,electricity,wind,wind,2085,0.18
UK,electricity,wind,wind,2085,0.18
UP,electricity,wind,wind,2085,0.18
WB,electricity,wind,wind,2085,0.18
AN,electricity,wind,wind,2090,0.18
AP,electricity,wind,wind,2090,0.18
AR,electricity,wind,wind,2090,0.18
AS,electricity,wind,wind,2090,0.18
BR,electricity,wind,wind,2090,0.18
CG,electricity,wind,wind,2090,0.18
CH,electricity,wind,wind,2090,0.18
DD,electricity,wind,wind,2090,0.18
DL,electricity,wind,wind,2090,0.18
DN,electricity,wind,wind,2090,0.18
GA,electricity,wind,wind,2090,0.18
GJ,electricity,wind,wind,2090,0.18
HP,electricity,wind,wind,2090,0.18
HR,electricity,wind,wind,2090,0.18
JH,electricity,wind,wind,2090,0.18
JK,electricity,wind,wind,2090,0.18
KA,electricity,wind,wind,2090,0.18
KL,electricity,wind,wind,2090,0.18
LA,electricity,wind,wind,2090,0.18
LD,electricity,wind,wind,2090,0.18
MH,electricity,wind,wind,2090,0.18
ML,electricity,wind,wind,2090,0.18
MN,electricity,wind,wind,2090,0.18
MP,electricity,wind,wind,2090,0.18
MZ,electricity,wind,wind,2090,0.18
NL,electricity,wind,wind,2090,0.18
OD,electricity,wind,wind,2090,0.18
