INPUT_TABLE,,,,,
Variable ID,,,,,
RegionIntTechCF,,,,,
,,,,,
region,supplysector,subsector,intermittent.technology,year,capacity.factor
LA,electricity,solar,CSP,2040,0.42
LD,electricity,solar,CSP,2040,0.42
MH,electricity,solar,CSP,2040,0.42
ML,electricity,solar,CSP,2040,0.42
MN,electricity,solar,CSP,2040,0.42
MP,electricity,solar,CSP,2040,0.42
MZ,electricity,solar,CSP,2040,0.42
NL,electricity,solar,CSP,2040,0.42
OD,electricity,solar,CSP,2040,0.42
PB,electricity,solar,CSP,2040,0.42
PC,electricity,solar,CSP,2040,0.42
RJ,electricity,solar,CSP,2040,0.42
SK,electricity,solar,CSP,2040,0.42
TN,electricity,solar,CSP,2040,0.42
TR,electricity,solar,CSP,2040,0.42
TS,electricity,solar,CSP,2040,0.42
UK,electricity,solar,CSP,2040,0.42
UP,electricity,solar,CSP,2040,0.42
WB,electricity,solar,CSP,2040,0.42
AN,electricity,solar,CSP,2045,0.44
AP,electricity,solar,CSP,2045,0.44
AR,electricity,solar,CSP,2045,0.44
AS,electricity,solar,CSP,2045,0.44
BR,electricity,solar,CSP,2045,0.44
CG,electricity,solar,CSP,2045,0.44
CH,electricity,solar,CSP,2045,0.44
DD,electricity,solar,CSP,2045,0.44
DL,electricity,solar,CSP,2045,0.44
DN,electricity,solar,CSP,2045,0.44
GA,electricity,solar,CSP,2045,0.44
GJ,electricity,solar,CSP,2045,0.44
HP,electricity,solar,CSP,2045,0.44
HR,electricity,solar,CSP,2045,0.44
JH,electricity,solar,CSP,2045,0.44
JK,electricity,solar,CSP,2045,0.44
KA,electricity,solar,CSP,2045,0.44
KL,electricity,solar,CSP,2045,0.44
LA,electricity,solar,CSP,2045,0.44
LD,electricity,solar,CSP,2045,0.44
MH,electricity,solar,CSP,2045,0.44
ML,electricity,solar,CSP,2045,0.44
MN,electricity,solar,CSP,2045,0.44
MP,electricity,solar,CSP,2045,0.44
MZ,electricity,solar,CSP,2045,0.44
NL,electricity,solar,CSP,2045,0.44
OD,electricity,solar,CSP,2045,0.44
PB,electricity,solar,CSP,2045,0.44
PC,electricity,solar,CSP,2045,0.44
RJ,electricity,solar,CSP,2045,0.44
SK,electricity,solar,CSP,2045,0.44
TN,electricity,solar,CSP,2045,0.44
TR,electricity,solar,CSP,2045,0.44
TS,electricity,solar,CSP,2045,0.44
UK,electricity,solar,CSP,2045,0.44
UP,electricity,solar,CSP,2045,0.44
WB,electricity,solar,CSP,2045,0.44
AN,electricity,solar,CSP,2050,0.45
AP,electricity,solar,CSP,2050,0.45
AR,electricity,solar,CSP,2050,0.45
AS,electricity,solar,CSP,2050,0.45
BR,electricity,solar,CSP,2050,0.45
CG,electricity,solar,CSP,2050,0.45
CH,electricity,solar,CSP,2050,0.45
DD,electricity,solar,CSP,2050,0.45
DL,electricity,solar,CSP,2050,0.45
DN,electricity,solar,CSP,2050,0.45
GA,electricity,solar,CSP,2050,0.45
GJ,electricity,solar,CSP,2050,0.45
HP,electricity,solar,CSP,2050,0.45
HR,electricity,solar,CSP,2050,0.45
JH,electricity,solar,CSP,2050,0.45
JK,electricity,solar,CSP,2050,0.45
KA,electricity,solar,CSP,2050,0.45
KL,electricity,solar,CSP,2050,0.45
LA,electricity,solar,CSP,2050,0.45
LD,electricity,solar,CSP,2050,0.45
MH,electricity,solar,CSP,2050,0.45
ML,electricity,solar,CSP,2050,0.45
