INPUT_TABLE
Variable ID
RegionIntTechCapital

region,supplysector,subsector,intermittent.technology,year,input.capital,capital.overnight,fixed.charge.rate
GA,electricity,solar,CSP,2060,capital,416,0.17
GJ,electricity,solar,CSP,2060,capital,416,0.17
HP,electricity,solar,CSP,2060,capital,416,0.17
HR,electricity,solar,CSP,2060,capital,416,0.17
JH,electricity,solar,CSP,2060,capital,416,0.17
JK,electricity,solar,CSP,2060,capital,416,0.17
KA,electricity,solar,CSP,2060,capital,416,0.17
KL,electricity,solar,CSP,2060,capital,416,0.17
LA,electricity,solar,CSP,2060,capital,416,0.17
LD,electricity,solar,CSP,2060,capital,416,0.17
MH,electricity,solar,CSP,2060,capital,416,0.17
ML,electricity,solar,CSP,2060,capital,416,0.17
MN,electricity,solar,CSP,2060,capital,416,0.17
MP,electricity,solar,CSP,2060,capital,416,0.17
MZ,electricity,solar,CSP,2060,capital,416,0.17
NL,electricity,solar,CSP,2060,capital,416,0.17
OD,electricity,solar,CSP,2060,capital,416,0.17
PB,electricity,solar,CSP,2060,capital,416,0.17
PC,electricity,solar,CSP,2060,capital,416,0.17
RJ,electricity,solar,CSP,2060,capital,416,0.17
SK,electricity,solar,CSP,2060,capital,416,0.17
TN,electricity,solar,CSP,2060,capital,416,0.17
