INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
IndiaIndusSharewt,,,,,,,,
,,,,,,,,
region,supplysector,subsector,apply.to,from.year,to.year,from.value,to.value,interpolation.function
UK,electricity,geothermal,share-weight,2015,2100,0,0,linear
UK,electricity,geothermal,share-weight,2095,2100,0,0,fixed
UP,electricity,geothermal,share-weight,2010,2020,0,0,fixed
UP,electricity,geothermal,share-weight,2015,2100,0,0,linear
UP,electricity,geothermal,share-weight,2095,2100,0,0,fixed
WB,electricity,geothermal,share-weight,2010,2020,0,0,fixed
WB,electricity,geothermal,share-weight,2015,2100,0,0,linear
WB,electricity,geothermal,share-weight,2095,2100,0,0,fixed
AN,electricity,hydro,share-weight,2010,2020,0,0,fixed
AN,electricity,hydro,share-weight,2015,2100,0,0,linear
AN,electricity,hydro,share-weight,2095,2100,0,0,fixed
AP,electricity,hydro,share-weight,2010,2020,0,0,fixed
AP,electricity,hydro,share-weight,2015,2100,0,0,linear
AP,electricity,hydro,share-weight,2095,2100,0,0,fixed
AR,electricity,hydro,share-weight,2010,2020,0,0,fixed
AR,electricity,hydro,share-weight,2015,2100,0,0,linear
AR,electricity,hydro,share-weight,2095,2100,0,0,fixed
AS,electricity,hydro,share-weight,2010,2020,0,0,fixed
AS,electricity,hydro,share-weight,2015,2100,0,0,linear
AS,electricity,hydro,share-weight,2095,2100,0,0,fixed
BR,electricity,hydro,share-weight,2010,2020,0,0,fixed
BR,electricity,hydro,share-weight,2015,2100,0,0,linear
BR,electricity,hydro,share-weight,2095,2100,0,0,fixed
CG,electricity,hydro,share-weight,2010,2020,0,0,fixed
CG,electricity,hydro,share-weight,2015,2100,0,0,linear
CG,electricity,hydro,share-weight,2095,2100,0,0,fixed
CH,electricity,hydro,share-weight,2010,2020,0,0,fixed
CH,electricity,hydro,share-weight,2015,2100,0,0,linear
CH,electricity,hydro,share-weight,2095,2100,0,0,fixed
DD,electricity,hydro,share-weight,2010,2020,0,0,fixed
DD,electricity,hydro,share-weight,2015,2100,0,0,linear
DD,electricity,hydro,share-weight,2095,2100,0,0,fixed
DL,electricity,hydro,share-weight,2010,2020,0,0,fixed
DL,electricity,hydro,share-weight,2015,2100,0,0,linear
DL,electricity,hydro,share-weight,2095,2100,0,0,fixed
DN,electricity,hydro,share-weight,2010,2020,0,0,fixed
DN,electricity,hydro,share-weight,2015,2100,0,0,linear
DN,electricity,hydro,share-weight,2095,2100,0,0,fixed
GA,electricity,hydro,share-weight,2010,2020,0,0,fixed
GA,electricity,hydro,share-weight,2015,2100,0,0,linear
GA,electricity,hydro,share-weight,2095,2100,0,0,fixed
GJ,electricity,hydro,share-weight,2010,2020,0,0,fixed
GJ,electricity,hydro,share-weight,2015,2100,0,0,linear
GJ,electricity,hydro,share-weight,2095,2100,0,0,fixed
HP,electricity,hydro,share-weight,2010,2020,0,0,fixed
HP,electricity,hydro,share-weight,2015,2100,0,0,linear
HP,electricity,hydro,share-weight,2095,2100,0,0,fixed
HR,electricity,hydro,share-weight,2010,2020,0,0,fixed
HR,electricity,hydro,share-weight,2015,2100,0,0,linear
HR,electricity,hydro,share-weight,2095,2100,0,0,fixed
JH,electricity,hydro,share-weight,2010,2020,0,0,fixed
JH,electricity,hydro,share-weight,2015,2100,0,0,linear
JH,electricity,hydro,share-weight,2095,2100,0,0,fixed
JK,electricity,hydro,share-weight,2010,2020,0,0,fixed
JK,electricity,hydro,share-weight,2015,2100,0,0,linear
JK,electricity,hydro,share-weight,2095,2100,0,0,fixed
KA,electricity,hydro,share-weight,2010,2020,0,0,fixed
KA,electricity,hydro,share-weight,2015,2100,0,0,linear
KA,electricity,hydro,share-weight,2095,2100,0,0,fixed
KL,electricity,hydro,share-weight,2010,2020,0,0,fixed
KL,electricity,hydro,share-weight,2015,2100,0,0,linear
KL,electricity,hydro,share-weight,2095,2100,0,0,fixed
LA,electricity,hydro,share-weight,2010,2020,0,0,fixed
LA,electricity,hydro,share-weight,2015,2100,0,0,linear
LA,electricity,hydro,share-weight,2095,2100,0,0,fixed
LD,electricity,hydro,share-weight,2010,2020,0,0,fixed
LD,electricity,hydro,share-weight,2015,2100,0,0,linear
LD,electricity,hydro,share-weight,2095,2100,0,0,fixed
MH,electricity,hydro,share-weight,2010,2020,0,0,fixed
MH,electricity,hydro,share-weight,2015,2100,0,0,linear
MH,electricity,hydro,share-weight,2095,2100,0,0,fixed
ML,electricity,hydro,share-weight,2010,2020,0,0,fixed
